Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8034,0.2533,1.8045,0.1467
2,1.7030,0.3244,1.7964,0.1800
3,1.6460,0.3556,1.7645,0.1867
4,1.6067,0.3489,1.6919,0.2867
5,1.6354,0.3622,1.6399,0.3200
6,1.6157,0.3733,1.6370,0.3267
7,1.5650,0.4000,1.6427,0.3600
8,1.5829,0.4111,1.6167,0.3200
9,1.5678,0.4000,1.5778,0.2933
10,1.5393,0.4156,1.5977,0.3533
11,1.6899,0.4044,1.6456,0.3200
12,1.4864,0.4222,1.6209,0.3600
13,1.4968,0.4644,1.6117,0.3267
14,1.5345,0.4356,1.6549,0.3267
15,1.4630,0.4733,1.5916,0.3467
16,1.5172,0.4067,1.6374,0.3133
17,1.5040,0.4578,1.6738,0.3333
18,1.4379,0.4800,1.5793,0.3733
19,1.4490,0.4956,1.5697,0.3600
20,1.4472,0.4778,1.6099,0.3400
21,1.4265,0.5289,1.6452,0.3867
22,1.4169,0.5044,1.6077,0.3467
23,1.4004,0.5156,1.5925,0.3467
24,1.3556,0.5244,1.6506,0.3200
25,1.4291,0.5133,1.7391,0.3867
26,1.5333,0.4467,1.6755,0.4133
27,1.4152,0.4956,1.5699,0.3733
28,1.3255,0.5533,1.6080,0.2933
29,1.3599,0.5600,1.5532,0.3867
30,1.3181,0.5867,1.5464,0.3867
31,1.3171,0.5644,1.5196,0.3933
32,1.2338,0.5556,1.5170,0.3800
33,1.3657,0.5800,1.5990,0.3133
34,1.2688,0.5600,1.5628,0.4067
35,1.4497,0.5067,1.5620,0.4000
36,1.3698,0.5289,1.6511,0.3933
37,1.2229,0.5467,1.6881,0.3400
38,1.2655,0.5511,1.6061,0.3800
39,1.2240,0.5733,1.5515,0.4067
40,1.2334,0.6067,1.5258,0.4067
41,1.2040,0.6200,1.5391,0.4200
42,1.1819,0.6400,1.5602,0.4267
43,1.1503,0.6378,1.4839,0.4467
44,1.1508,0.6578,1.4959,0.4267
45,1.1481,0.6667,1.5067,0.4000
46,1.2844,0.5778,1.6064,0.3733
47,1.2530,0.5511,1.7299,0.4067
48,1.2674,0.5400,1.6012,0.3733
49,1.1728,0.6156,1.6474,0.3600
50,1.2325,0.5867,1.6137,0.4200
51,1.1728,0.5778,1.6385,0.3667
52,1.2400,0.6089,1.6188,0.4067
53,1.1125,0.6156,1.6738,0.3600
54,1.2514,0.6000,1.6281,0.3533
55,1.2343,0.5733,1.6429,0.4000
56,1.1462,0.6089,1.7263,0.3667
57,1.2090,0.6067,1.6711,0.3600
58,1.2127,0.6289,1.5768,0.4133
59,1.0973,0.6333,1.6089,0.4133
60,1.0949,0.6378,1.6723,0.3533
61,1.2349,0.6333,1.6861,0.3800
62,1.2013,0.5933,1.7791,0.3333
63,1.1295,0.6311,1.7291,0.3400
64,1.0497,0.6422,1.6018,0.3867
65,1.1578,0.6200,1.8290,0.3733
66,1.1409,0.6422,1.5622,0.4800
67,1.0535,0.6711,1.5520,0.4600
68,1.1488,0.6444,1.6493,0.3800
69,1.1300,0.6867,1.6194,0.4067
70,1.0927,0.6422,1.6720,0.3800
71,1.0685,0.6444,1.5783,0.4333
72,1.0504,0.7044,1.5981,0.4467
73,1.1956,0.6844,1.4692,0.4533
74,1.0375,0.7156,1.5414,0.4467
75,1.0886,0.6956,1.5169,0.4733
76,1.0335,0.7067,1.5410,0.4533
77,0.9464,0.7311,1.5234,0.4733
78,0.9180,0.7222,1.5612,0.4200
79,0.9148,0.6800,1.5930,0.4067
80,0.8852,0.7311,1.5948,0.4200
81,0.9767,0.7467,1.5130,0.4333
82,0.9729,0.7156,1.4477,0.4800
83,0.9330,0.7267,1.4980,0.4533
84,0.8807,0.7244,1.6102,0.4133
85,1.1002,0.7178,1.5136,0.4333
86,1.1975,0.6444,1.6544,0.4000
87,1.0283,0.6511,1.8033,0.3400
88,1.0187,0.6667,1.5731,0.4067
89,1.1537,0.6889,1.5663,0.3867
90,0.9676,0.6933,1.5832,0.3867
91,1.0943,0.7133,1.5768,0.4333
92,1.0915,0.7044,1.9118,0.4067
93,0.9538,0.6911,1.7001,0.3867
94,0.9887,0.7022,1.5147,0.4800
95,0.9576,0.7267,1.5397,0.4400
96,0.9952,0.6756,1.6629,0.3867
97,0.9519,0.7400,1.5637,0.4400
98,0.7626,0.7844,1.5430,0.4267
99,0.7791,0.7978,1.5552,0.4333
100,0.8326,0.7933,1.5782,0.4400
101,0.7877,0.8000,1.5826,0.4667
102,0.7935,0.7844,1.5798,0.4733
103,0.8725,0.7911,1.6070,0.4133
104,0.7531,0.8222,1.5470,0.4800
105,0.8303,0.7689,1.7398,0.3867
