Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5757,0.6809,0.6561,0.6809
2,0.4965,0.7730,0.6435,0.6809
3,0.4039,0.7943,0.6243,0.6809
4,0.4242,0.8227,0.6008,0.6809
5,0.3892,0.8723,0.5786,0.6809
6,0.3301,0.8511,0.5507,0.6809
7,0.3409,0.8865,0.5058,0.7021
8,0.3008,0.8723,0.4477,0.7660
9,0.3083,0.9007,0.3922,0.8511
10,0.2532,0.9007,0.3553,0.8085
11,0.2890,0.8936,0.3210,0.7872
12,0.2664,0.9220,0.3374,0.8723
13,0.2997,0.8865,0.3634,0.9149
14,0.2303,0.9149,0.3290,0.9149
15,0.2970,0.9078,0.3204,0.8936
16,0.3038,0.8936,0.3012,0.8936
17,0.3190,0.9078,0.2849,0.7872
18,0.2479,0.8865,0.3185,0.8298
19,0.2533,0.9007,0.3236,0.8298
20,0.2591,0.9007,0.3083,0.8298
21,0.2372,0.9007,0.2784,0.8723
22,0.2304,0.9007,0.2571,0.8936
23,0.2651,0.8936,0.2616,0.8936
24,0.1990,0.9291,0.2905,0.8936
25,0.2214,0.9149,0.3084,0.8936
26,0.2166,0.9078,0.3034,0.8936
27,0.2133,0.9220,0.2850,0.8723
28,0.2145,0.9433,0.2784,0.8936
29,0.1858,0.9291,0.2867,0.8936
30,0.2407,0.9291,0.6295,0.7234
31,0.1772,0.9362,1.7713,0.3830
32,0.2741,0.9362,0.3939,0.9574
33,0.1879,0.9220,0.2884,0.8936
34,0.2943,0.9007,0.2604,0.8723
35,0.2871,0.8794,0.2280,0.9149
36,0.2437,0.9220,0.3181,0.8723
37,0.2175,0.9149,0.3481,0.8511
38,0.2135,0.9291,0.3111,0.8936
39,0.1767,0.9149,0.2909,0.9149
40,0.2099,0.9007,0.2824,0.9149
41,0.1830,0.9007,0.2684,0.8936
42,0.1657,0.9220,0.2701,0.9149
43,0.1707,0.9504,0.2889,0.9149
44,0.1533,0.9220,0.3034,0.8723
45,0.2038,0.9220,0.3114,0.8936
46,0.1480,0.9716,0.3118,0.9149
47,0.2992,0.9220,0.2888,0.9149
48,0.1396,0.9645,0.2567,0.8936
49,0.1390,0.9645,0.2675,0.8936
50,0.1916,0.9574,0.2985,0.8936
51,0.1430,0.9574,0.2950,0.9149
52,0.2031,0.9220,0.3100,0.8936
53,0.1246,0.9574,0.3836,0.9149
54,0.1208,0.9504,0.3770,0.8723
55,0.1104,0.9574,0.3301,0.8936
56,0.1447,0.9787,0.3213,0.8936
57,0.1172,0.9645,0.3731,0.8723
58,0.2215,0.9574,0.4379,0.9149
59,0.1542,0.9433,1.7871,0.3830
60,0.1288,0.9858,1.4339,0.4255
61,0.1283,0.9787,0.4782,0.8511
62,0.1355,0.9645,0.3788,0.8511
63,0.2354,0.9291,0.3621,0.8936
64,0.1123,0.9716,0.3534,0.9149
65,0.1170,0.9433,0.2986,0.9149
66,0.1483,0.9574,0.2905,0.8936
67,0.1300,0.9716,0.3180,0.8936
68,0.1361,0.9645,0.3534,0.8936
69,0.1213,0.9787,0.3639,0.8936
70,0.1227,0.9787,0.3623,0.8936
71,0.1240,0.9787,0.3630,0.9149
72,0.1123,0.9716,0.4403,0.8723
73,0.1427,0.9645,0.4001,0.8723
74,0.1058,0.9929,0.3935,0.8723
75,0.0851,0.9858,0.4073,0.8723
76,0.1886,0.9645,0.4023,0.8723
77,0.1473,0.9716,0.5399,0.8511
78,0.1149,0.9716,1.4284,0.4468
79,0.1170,0.9433,1.3520,0.4255
80,0.1601,0.9362,0.9130,0.5532
81,0.1057,0.9787,0.4391,0.9574
82,0.1222,0.9645,0.3631,0.9574
83,0.1453,0.9504,0.3261,0.9149
84,0.1797,0.9362,0.2503,0.9149
85,0.2301,0.9078,0.3072,0.8936
