Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6397,0.6235,0.6460,0.6559
2,0.6339,0.6595,0.6256,0.6703
3,0.6450,0.6631,0.6357,0.6595
4,0.6155,0.6763,0.6509,0.6308
5,0.6498,0.6799,0.6351,0.6738
6,0.6218,0.6355,0.6243,0.6953
7,0.6050,0.6619,0.6202,0.6918
8,0.6282,0.6763,0.6236,0.6810
9,0.6158,0.6835,0.6199,0.6882
10,0.6351,0.6882,0.6186,0.6846
11,0.6409,0.6751,0.6378,0.6165
12,0.6076,0.6978,0.6355,0.6595
13,0.6298,0.6859,0.6205,0.6738
14,0.6263,0.6847,0.6164,0.6918
15,0.6196,0.6775,0.6266,0.6703
16,0.6165,0.7110,0.6253,0.7097
17,0.6018,0.6930,0.6560,0.7025
18,0.6405,0.7014,0.6247,0.7061
19,0.6094,0.6535,0.6300,0.6918
20,0.5960,0.6882,0.6304,0.6631
21,0.6086,0.6715,0.6233,0.7025
22,0.5931,0.6859,0.6298,0.6953
23,0.5982,0.6978,0.6260,0.6631
24,0.5893,0.7098,0.6326,0.6846
25,0.6086,0.6966,0.6266,0.6559
26,0.6098,0.6894,0.6421,0.6774
27,0.6209,0.6667,0.6273,0.7061
28,0.6098,0.6966,0.6278,0.6846
29,0.6008,0.7050,0.6187,0.6953
30,0.6548,0.7230,0.6280,0.6344
31,0.6303,0.6571,0.6779,0.6846
32,0.5956,0.6811,0.6080,0.7061
33,0.5985,0.6835,0.6070,0.7204
34,0.6213,0.7194,0.6486,0.6452
35,0.6144,0.6775,0.6136,0.7061
36,0.6215,0.7182,0.6638,0.6022
37,0.6162,0.6787,0.6057,0.7097
38,0.5920,0.7182,0.6424,0.7240
39,0.6020,0.7098,0.6160,0.7025
40,0.5825,0.7158,0.6370,0.6416
41,0.6029,0.6990,0.6224,0.7168
42,0.6256,0.6942,0.6315,0.6774
43,0.5946,0.7038,0.6190,0.6667
44,0.6123,0.6631,0.6391,0.6559
45,0.6103,0.6906,0.6322,0.7097
46,0.5737,0.7170,0.6225,0.6989
47,0.6120,0.7038,0.6193,0.6738
48,0.5885,0.6906,0.6143,0.7204
49,0.5578,0.7062,0.6211,0.7097
50,0.5819,0.7098,0.6321,0.6882
51,0.6313,0.7170,0.6125,0.7061
52,0.5961,0.6894,0.6202,0.6953
53,0.6163,0.6715,0.6130,0.6918
54,0.6038,0.6835,0.6327,0.6523
55,0.5927,0.6918,0.6236,0.7025
56,0.6134,0.7014,0.6404,0.6308
57,0.6081,0.6978,0.6258,0.6989
58,0.6055,0.6559,0.6194,0.6703
59,0.6177,0.7050,0.6146,0.6774
60,0.5865,0.6775,0.6151,0.7204
61,0.6223,0.7038,0.6244,0.6595
62,0.5918,0.7026,0.6101,0.7204
63,0.6445,0.7098,0.6222,0.6810
64,0.6392,0.6535,0.6395,0.6416
65,0.6155,0.6954,0.6253,0.6774
66,0.5915,0.6882,0.6248,0.7097
67,0.6185,0.6823,0.6219,0.6738
68,0.5879,0.7038,0.6030,0.7168
69,0.6456,0.6954,0.6412,0.7025
70,0.6203,0.6871,0.6275,0.6918
71,0.6479,0.6894,0.6271,0.6774
72,0.6315,0.6775,0.6217,0.6882
73,0.6012,0.6918,0.6067,0.7061
74,0.6096,0.7110,0.6167,0.6918
75,0.5712,0.7254,0.6178,0.7276
76,0.5822,0.7158,0.6117,0.7061
