Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.7052,0.3475,0.7208,0.3191
2,0.6793,0.5887,0.7151,0.3191
3,0.6460,0.6950,0.7098,0.3191
4,0.6335,0.8014,0.7054,0.3191
5,0.6133,0.7589,0.6975,0.4468
6,0.6110,0.8085,0.6853,0.6170
7,0.6067,0.8227,0.6751,0.7234
8,0.5864,0.8014,0.6571,0.7234
9,0.5821,0.8014,0.6354,0.7021
10,0.5566,0.7801,0.6083,0.7447
11,0.5648,0.8156,0.5870,0.7872
12,0.5447,0.8156,0.5605,0.7660
13,0.5273,0.8227,0.5396,0.8085
14,0.5330,0.7943,0.5222,0.8511
15,0.5213,0.8014,0.5089,0.8511
16,0.4951,0.8085,0.4901,0.8723
17,0.5218,0.8085,0.4668,0.8936
18,0.5034,0.8652,0.4785,0.8723
19,0.4737,0.8369,0.4651,0.8723
20,0.4889,0.7872,0.4448,0.8723
21,0.4659,0.7872,0.4788,0.8085
22,0.4583,0.8369,0.4636,0.8298
23,0.5007,0.8156,0.4682,0.8511
24,0.5119,0.7943,0.4473,0.8298
25,0.4651,0.8014,0.4354,0.8723
26,0.4700,0.8369,0.4360,0.8298
27,0.4869,0.8014,0.4162,0.8511
28,0.4750,0.8227,0.4333,0.8511
29,0.5112,0.8511,0.4459,0.8298
30,0.4819,0.7730,0.4387,0.8511
31,0.4516,0.8369,0.4162,0.8936
32,0.4832,0.8298,0.4325,0.8298
33,0.4433,0.8014,0.4283,0.8511
34,0.4594,0.8156,0.4282,0.8298
35,0.4692,0.8085,0.3996,0.8936
36,0.4288,0.8298,0.4146,0.8723
37,0.4588,0.7943,0.4211,0.8298
38,0.4148,0.8369,0.4206,0.8085
39,0.4415,0.8369,0.4446,0.7660
40,0.3783,0.8511,0.4350,0.8085
41,0.4293,0.8440,0.4097,0.8511
42,0.4785,0.8369,0.4124,0.8298
43,0.3657,0.8511,0.4209,0.8723
44,0.4159,0.8014,0.3898,0.8511
