Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.7080,0.3404,0.6937,0.3191
2,0.6900,0.3404,0.6931,0.3191
3,0.6962,0.3404,0.6931,0.3191
4,0.6804,0.4468,0.6931,0.3191
5,0.7030,0.4113,0.6931,0.3191
6,0.6872,0.5390,0.6931,0.3191
7,0.6949,0.6028,0.6931,0.3191
8,0.6863,0.6241,0.6931,0.3191
9,0.6782,0.6950,0.6906,0.6170
10,0.6687,0.7092,0.6730,0.6809
11,0.6608,0.7447,0.6483,0.6809
12,0.6530,0.6950,0.6223,0.7447
13,0.6528,0.7021,0.5947,0.7234
14,0.6375,0.7376,0.5933,0.7234
15,0.6423,0.7447,0.5780,0.7447
16,0.6450,0.7163,0.5561,0.7234
17,0.6525,0.7092,0.5474,0.7447
18,0.6457,0.7092,0.5434,0.7447
19,0.6296,0.7163,0.5338,0.8085
20,0.6233,0.7518,0.5354,0.8085
21,0.6201,0.7092,0.5426,0.8298
22,0.6119,0.7305,0.5466,0.7872
23,0.5991,0.7660,0.5540,0.7872
24,0.6089,0.7092,0.5605,0.8085
25,0.5923,0.7660,0.5524,0.8298
26,0.5958,0.7305,0.5530,0.7660
27,0.6084,0.7376,0.5348,0.8085
28,0.5822,0.7589,0.5264,0.7872
29,0.6012,0.7447,0.5161,0.8085
30,0.5892,0.7376,0.5615,0.8298
31,0.5610,0.7589,0.6031,0.7660
32,0.5389,0.8227,0.6007,0.7872
33,0.5764,0.7730,0.6156,0.7660
34,0.5858,0.7801,0.6337,0.7021
35,0.5632,0.7589,0.6365,0.7660
36,0.5622,0.7376,0.5866,0.8298
37,0.5510,0.7092,0.5776,0.7660
38,0.5710,0.7447,0.5466,0.8298
39,0.5325,0.7660,0.5629,0.8085
40,0.5473,0.7518,0.5793,0.7021
41,0.5445,0.7801,0.5456,0.7872
42,0.5457,0.8156,0.5395,0.8298
43,0.5303,0.8085,0.5365,0.8511
44,0.5402,0.7872,0.5069,0.8936
45,0.5537,0.7730,0.5245,0.7660
46,0.5296,0.7447,0.5410,0.8085
47,0.5009,0.8298,0.4970,0.8298
48,0.5282,0.7872,0.4658,0.7872
49,0.4949,0.7801,0.4414,0.8511
50,0.5638,0.7943,0.4375,0.8298
51,0.4989,0.7589,0.4577,0.7872
52,0.4902,0.7801,0.4484,0.8085
53,0.4937,0.7943,0.4274,0.8298
54,0.4694,0.8298,0.4149,0.8936
55,0.4544,0.8723,0.3758,0.8511
56,0.4973,0.8085,0.3750,0.9362
57,0.5056,0.8085,0.3303,0.9574
58,0.4485,0.8085,0.3615,0.8936
59,0.4061,0.8440,0.3445,0.9574
60,0.5110,0.8014,0.3715,0.9574
61,0.4376,0.8085,0.3696,0.8723
62,0.4322,0.8227,0.3865,0.8723
63,0.4317,0.8227,0.3521,0.9149
64,0.4534,0.8369,0.3712,0.8723
65,0.4399,0.8156,0.3796,0.8511
66,0.3927,0.8156,0.3878,0.8723
67,0.4692,0.8298,0.3736,0.8936
68,0.4324,0.8298,0.3780,0.9149
69,0.3975,0.8085,0.3743,0.8511
70,0.4313,0.7943,0.3904,0.8936
71,0.4245,0.8369,0.3655,0.8936
72,0.3945,0.7943,0.3613,0.8723
73,0.4016,0.8369,0.3438,0.8723
74,0.4117,0.8227,0.3501,0.8723
75,0.3734,0.8298,0.3412,0.8298
76,0.4339,0.8156,0.3263,0.9149
77,0.4033,0.8227,0.3417,0.8936
78,0.3515,0.8582,0.3229,0.8936
79,0.3891,0.8511,0.3365,0.9149
80,0.3764,0.8014,0.2960,0.9149
81,0.3838,0.8511,0.3614,0.8511
82,0.3567,0.8227,0.3182,0.8723
83,0.4181,0.8369,0.3372,0.8723
84,0.3819,0.8440,0.3190,0.8936
85,0.3737,0.8227,0.3303,0.9149
86,0.4298,0.8369,0.3109,0.8936
87,0.3598,0.8156,0.3500,0.9149
88,0.4194,0.8440,0.3619,0.8723
89,0.3314,0.8511,0.3657,0.8723
90,0.3799,0.8511,0.3907,0.8511
91,0.4401,0.8511,0.3722,0.8723
92,0.4936,0.8227,0.3375,0.8936
93,0.3885,0.8511,0.3419,0.9362
94,0.4323,0.8298,0.3191,0.9362
95,0.3475,0.8511,0.2936,0.9362
96,0.4359,0.8440,0.3249,0.8723
97,0.3822,0.8085,0.3400,0.8936
98,0.3576,0.7943,0.3361,0.8511
99,0.3597,0.8369,0.3382,0.8723
100,0.4296,0.8298,0.3332,0.8723
101,0.4149,0.8369,0.3433,0.8936
102,0.3321,0.8723,0.3030,0.9149
103,0.3957,0.8369,0.3150,0.9362
104,0.3385,0.8511,0.2887,0.9149
105,0.3397,0.8227,0.2819,0.9362
106,0.4723,0.8085,0.3324,0.8936
107,0.3762,0.8227,0.3012,0.8936
108,0.3235,0.8440,0.3165,0.8936
