Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.7340,0.2156,1.7857,0.1867
2,1.6364,0.3378,1.7716,0.2533
3,1.5761,0.3533,1.7761,0.2200
4,1.6220,0.3867,1.7337,0.2133
5,1.5955,0.3733,1.7431,0.2667
6,1.6133,0.3511,1.7589,0.2667
7,1.6090,0.3556,1.8028,0.2333
8,1.6169,0.3333,1.8193,0.2067
9,1.5944,0.3289,1.8085,0.2600
10,1.5756,0.3667,1.7632,0.2467
11,1.5499,0.4089,1.8633,0.2000
12,1.6791,0.3489,2.0791,0.2333
13,1.6646,0.3244,1.8793,0.2533
14,1.6257,0.3289,1.8764,0.2533
15,1.5894,0.3244,1.8781,0.2200
16,1.5290,0.3600,1.8687,0.2467
17,1.6090,0.3444,1.8693,0.2867
18,1.6332,0.3578,1.8365,0.2867
19,1.6193,0.3756,1.7424,0.2733
20,1.5802,0.3467,1.9271,0.2533
21,1.5932,0.3711,1.7948,0.2800
22,1.5081,0.3956,1.7155,0.3067
23,1.5828,0.4000,1.6139,0.3200
24,1.4960,0.4444,1.6579,0.3133
25,1.5175,0.4378,1.6376,0.3267
26,1.4404,0.4689,1.6756,0.3267
27,1.5381,0.4000,1.7407,0.2733
28,1.6131,0.3733,1.7261,0.3000
29,1.6100,0.3556,1.7242,0.2867
30,1.5556,0.3978,1.7404,0.3200
31,1.4920,0.4311,1.7787,0.2933
32,1.4742,0.4267,1.6978,0.3267
33,1.5501,0.4022,1.6690,0.3667
34,1.5449,0.4333,1.6503,0.4200
35,1.4436,0.4467,1.6173,0.4200
36,1.4309,0.4756,1.5825,0.3867
37,1.3923,0.4933,1.7112,0.3067
38,1.4960,0.4733,1.6807,0.2800
39,1.3595,0.4689,1.6512,0.3600
40,1.4181,0.5089,1.7305,0.3467
41,1.4305,0.5000,1.7848,0.2800
42,1.4616,0.4933,1.6957,0.3600
43,1.3043,0.5044,1.7656,0.3467
44,1.4020,0.5111,1.7001,0.3533
45,1.4092,0.4356,1.7836,0.2800
46,1.5647,0.4311,1.6518,0.3067
47,1.4323,0.4622,1.5853,0.3333
48,1.4017,0.4644,1.5832,0.3667
49,1.3406,0.4756,1.6289,0.3400
50,1.3898,0.4556,1.5526,0.3133
51,1.4376,0.5111,1.5948,0.3400
52,1.3863,0.5067,1.5421,0.3800
53,1.4332,0.4978,1.5295,0.4000
54,1.3856,0.5244,1.5093,0.4400
55,1.3391,0.5400,1.5288,0.3533
56,1.3800,0.5156,1.5427,0.3733
57,1.3174,0.5644,1.5737,0.3600
58,1.2782,0.5444,1.5472,0.4200
59,1.3304,0.5489,1.5350,0.3600
60,1.3046,0.5822,1.5117,0.4267
61,1.2154,0.5889,1.5841,0.3933
62,1.2946,0.5778,1.6553,0.3667
63,1.3474,0.5644,1.6035,0.4133
64,1.2845,0.5778,1.6296,0.4000
65,1.2750,0.5756,1.5811,0.3867
66,1.2661,0.5467,1.8090,0.3000
67,1.3810,0.4822,1.7766,0.3400
68,1.5186,0.4533,1.7269,0.3000
69,1.6110,0.3533,2.0533,0.2400
70,1.8314,0.2933,1.9326,0.2600
71,1.7089,0.3044,1.8930,0.2333
72,1.5697,0.3267,1.7904,0.2933
73,1.6281,0.3911,1.6838,0.3333
74,1.6220,0.3511,1.6704,0.3200
75,1.5505,0.3733,1.6101,0.2867
76,1.5095,0.3978,1.6645,0.2933
77,1.6180,0.4133,1.6253,0.3133
78,1.4886,0.4333,1.5943,0.3400
79,1.5651,0.4178,1.5618,0.3667
80,1.4550,0.4289,1.5743,0.3733
81,1.4934,0.4533,1.6253,0.3267
82,1.4450,0.4622,1.5794,0.3667
83,1.4180,0.4222,1.5393,0.3800
84,1.3690,0.4444,1.5978,0.3667
