Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.7330,0.6454,0.6818,0.7447
2,0.6009,0.7021,0.6714,0.6809
3,0.5430,0.7234,0.6618,0.6809
4,0.4735,0.8014,0.6522,0.6809
5,0.5124,0.7660,0.6404,0.6809
6,0.4305,0.8085,0.6292,0.6809
7,0.5778,0.8156,0.6133,0.6809
8,0.4404,0.8085,0.5915,0.6809
9,0.3963,0.8227,0.5592,0.6809
10,0.4031,0.7730,0.5100,0.6809
11,0.3757,0.7872,0.5027,0.6809
12,0.3520,0.8156,0.4758,0.7021
13,0.4693,0.8156,0.4234,0.7447
14,0.3332,0.8440,0.3765,0.7660
15,0.4463,0.8298,0.3705,0.8298
16,0.3307,0.8582,0.3894,0.8085
17,0.3738,0.8723,0.3997,0.8298
18,0.3348,0.8511,0.3673,0.8085
19,0.3447,0.8582,0.3651,0.8511
20,0.3750,0.8652,0.3455,0.8936
21,0.4013,0.8369,0.3341,0.8723
22,0.2934,0.8582,0.3179,0.8723
23,0.3219,0.8723,0.2923,0.8723
24,0.2476,0.9007,0.2854,0.8723
25,0.3043,0.8298,0.2774,0.8511
26,0.2673,0.8652,0.3347,0.8085
27,0.2864,0.8723,0.3377,0.8298
28,0.3285,0.8369,0.3320,0.8723
29,0.2862,0.8723,0.3510,0.8085
30,0.3587,0.8582,0.3159,0.8511
31,0.3148,0.8511,0.2922,0.8936
32,0.4687,0.8156,0.3222,0.8298
33,0.3411,0.8085,0.3407,0.8511
34,0.3430,0.8582,0.3312,0.8298
35,0.3347,0.8511,0.3231,0.8298
36,0.2860,0.8794,0.3643,0.8511
37,0.3085,0.8582,0.3849,0.8511
38,0.2479,0.9007,0.4241,0.8936
39,0.4480,0.8652,0.4738,0.7872
40,0.3997,0.8511,0.4980,0.7872
41,0.4929,0.8511,0.3990,0.8085
42,0.2545,0.8582,0.3653,0.8298
43,0.3220,0.8156,0.3901,0.8298
44,0.3365,0.8440,0.4336,0.7872
45,0.3325,0.8652,0.3773,0.8511
46,0.3272,0.8582,0.3592,0.8511
47,0.3713,0.8440,0.4118,0.8298
48,0.3601,0.8014,0.3713,0.8511
49,0.3425,0.8723,0.3508,0.8511
50,0.3464,0.8794,0.3598,0.8298
51,0.3305,0.8298,0.3569,0.8298
52,0.3310,0.8440,0.3708,0.8298
53,0.3097,0.8227,0.3429,0.8511
54,0.4624,0.8369,0.3032,0.8511
55,0.3097,0.8298,0.3209,0.8511
56,0.3127,0.8440,0.2877,0.8936
57,0.4167,0.8369,0.2194,0.9149
58,0.2644,0.8865,0.2637,0.9362
59,0.2751,0.8582,0.2407,0.9149
60,0.3138,0.9007,0.2468,0.9362
