Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6845,0.6427,0.6742,0.6380
2,0.6394,0.6655,0.6217,0.6595
3,0.5862,0.6930,0.6312,0.6559
4,0.5807,0.7050,0.6154,0.6738
5,0.5783,0.7098,0.6626,0.6523
6,0.5415,0.7086,0.6186,0.6667
7,0.5306,0.7266,0.6853,0.6416
8,0.5460,0.7218,0.6618,0.6774
9,0.5645,0.7098,0.7646,0.6129
10,0.6042,0.7254,0.7581,0.6237
11,0.5560,0.7302,0.6790,0.6344
12,0.6443,0.7338,0.6700,0.6129
13,0.5851,0.7158,0.6567,0.6022
14,0.5822,0.7278,0.6227,0.6631
15,0.6190,0.6799,0.6273,0.6595
16,0.5477,0.7230,0.6392,0.6272
17,0.5530,0.7182,0.6255,0.6774
18,0.5532,0.7170,0.6149,0.6667
19,0.5381,0.7350,0.6363,0.6595
20,0.5997,0.7290,0.6610,0.6774
21,0.5570,0.7314,0.6699,0.6667
22,0.6129,0.7386,0.6407,0.6559
23,0.5828,0.7326,0.6650,0.6308
24,0.5318,0.7206,0.6341,0.6703
25,0.5202,0.7482,0.6119,0.6810
26,0.5899,0.7374,0.6476,0.6631
27,0.5225,0.7530,0.6914,0.6344
28,0.5202,0.7614,0.6865,0.6344
29,0.5838,0.7626,0.7109,0.6308
30,0.5576,0.7386,0.6872,0.6738
31,0.5748,0.7194,0.6912,0.6953
32,0.5582,0.7230,0.6552,0.6452
33,0.5509,0.7254,0.6143,0.6882
34,0.5190,0.7374,0.6397,0.6810
35,0.5709,0.7506,0.6571,0.6631
36,0.4880,0.7722,0.6596,0.6595
37,0.5905,0.7650,0.6464,0.6882
38,0.5387,0.7446,0.6400,0.6846
39,0.4956,0.7638,0.6683,0.7097
40,0.5153,0.7566,0.6592,0.6918
41,0.5890,0.7530,0.6919,0.6237
42,0.5218,0.7314,0.6682,0.6559
43,0.4854,0.7710,0.6487,0.6523
44,0.4945,0.7722,0.6550,0.6703
45,0.4888,0.7686,0.6767,0.6738
46,0.5233,0.7302,0.6938,0.6452
47,0.4861,0.7674,0.7231,0.6308
48,0.5015,0.7782,0.7171,0.6308
49,0.5364,0.7590,0.7066,0.6738
50,0.5471,0.7302,0.7062,0.6272
51,0.6027,0.7326,0.7140,0.6487
52,0.5248,0.7458,0.6514,0.6774
53,0.5382,0.7638,0.6564,0.6810
54,0.5315,0.7650,0.6973,0.6487
55,0.6249,0.7242,0.7899,0.6595
56,0.6051,0.6835,0.7292,0.6380
57,0.5812,0.7230,0.6788,0.6810
58,0.5375,0.7182,0.6693,0.6738
59,0.5261,0.7206,0.6519,0.6631
60,0.4985,0.7434,0.6558,0.6810
61,0.4989,0.7578,0.6849,0.6667
62,0.4861,0.7602,0.6638,0.6631
63,0.4835,0.7710,0.6534,0.6846
64,0.5613,0.7650,0.7430,0.6810
65,0.5057,0.7530,0.7171,0.6667
66,0.4834,0.7698,0.6988,0.6703
67,0.5437,0.7902,0.7080,0.6882
68,0.5279,0.7494,0.6933,0.6344
69,0.5338,0.7314,0.6442,0.6452
70,0.5404,0.7314,0.6607,0.6416
71,0.5160,0.7422,0.6590,0.6595
72,0.4962,0.7542,0.6601,0.6631
73,0.5431,0.7482,0.6789,0.6201
74,0.5258,0.6978,0.7637,0.5950
75,0.5163,0.7350,0.6896,0.6667
76,0.5099,0.7602,0.6902,0.6810
77,0.5968,0.7566,0.8123,0.6667
78,0.5652,0.7086,0.7077,0.6846
79,0.5347,0.7326,0.6404,0.7204
80,0.5876,0.7458,0.7057,0.7097
81,0.5216,0.7686,0.6953,0.6452
82,0.5421,0.7374,0.6656,0.6738
83,0.5251,0.7614,0.7316,0.6846
84,0.5367,0.7350,0.7209,0.6416
85,0.5015,0.7566,0.6707,0.6452
86,0.4977,0.7626,0.6554,0.6595
87,0.5428,0.7818,0.7052,0.6882
88,0.4654,0.7794,0.6935,0.6703
89,0.5222,0.7638,0.7229,0.6631
90,0.4849,0.7602,0.7077,0.6452
91,0.4957,0.7758,0.7537,0.6703
92,0.4980,0.7530,0.7869,0.6738
93,0.4684,0.7830,0.7119,0.6774
94,0.4765,0.7710,0.7123,0.6667
95,0.4480,0.7950,0.7371,0.6452
96,0.4320,0.8010,0.7469,0.6738
97,0.4465,0.7914,0.7079,0.6595
98,0.4149,0.7962,0.7526,0.6846
99,0.4970,0.7986,0.7785,0.6631
100,0.4693,0.7722,0.8027,0.6093
101,0.4918,0.7830,0.7984,0.6810
102,0.4841,0.7746,0.8447,0.6308
103,0.4812,0.7746,0.7516,0.6738
104,0.5147,0.7818,0.7584,0.6631
105,0.4776,0.7686,0.7566,0.6810
106,0.4498,0.8010,0.7288,0.6810
107,0.4626,0.7998,0.7644,0.6846
108,0.5343,0.7782,0.8003,0.6129
109,0.4368,0.7758,0.8466,0.6272
110,0.4485,0.8022,0.7244,0.6774
111,0.4848,0.7830,0.7586,0.6631
112,0.4466,0.7938,0.7655,0.6308
113,0.4416,0.7986,0.7783,0.6559
114,0.4329,0.7722,0.7983,0.6523
115,0.5009,0.7926,0.9304,0.6380
116,0.5340,0.8082,0.8028,0.6559
117,0.4475,0.7938,0.7249,0.6487
118,0.4780,0.7782,0.8039,0.6918
119,0.4326,0.7842,0.7284,0.6559
120,0.4547,0.7962,0.7193,0.6846
121,0.4444,0.8058,0.7532,0.6703
122,0.4785,0.7866,0.7790,0.6523
123,0.4509,0.7878,0.7933,0.6738
124,0.5148,0.8046,0.8034,0.6559
125,0.5845,0.7602,0.9132,0.6631
126,0.5291,0.7410,0.7993,0.6738
127,0.4864,0.7662,0.7535,0.6810
128,0.4464,0.7878,0.7516,0.6703
129,0.4652,0.7758,0.7519,0.6631
130,0.4536,0.7998,0.7642,0.6738
131,0.4567,0.8070,0.7728,0.6380
132,0.4893,0.7770,0.7700,0.6129
133,0.5298,0.7914,0.7299,0.6738
134,0.4503,0.7830,0.7365,0.6631
135,0.5139,0.7962,0.7333,0.6953
136,0.4174,0.7998,0.7023,0.6738
137,0.4670,0.7950,0.7780,0.5914
138,0.4286,0.8141,0.7721,0.6380
139,0.4341,0.8106,0.7408,0.6523
140,0.5349,0.8189,0.7871,0.6344
141,0.5266,0.7434,0.7714,0.6237
142,0.5285,0.7518,0.7122,0.6703
143,0.5517,0.7530,0.7550,0.6810
144,0.6209,0.7398,0.7522,0.6523
145,0.5517,0.7302,0.6972,0.6201
146,0.5652,0.7242,0.6309,0.6738
147,0.5271,0.7326,0.6537,0.6595
148,0.5340,0.7374,0.7285,0.6452
149,0.5451,0.7518,0.7272,0.6201
150,0.5140,0.7362,0.6231,0.6667
151,0.5120,0.7434,0.6310,0.6559
152,0.4807,0.7590,0.6498,0.6595
153,0.4538,0.7830,0.6703,0.6738
154,0.5848,0.7710,0.7739,0.6201
155,0.5721,0.6823,0.7264,0.6201
156,0.5013,0.7602,0.7163,0.6022
157,0.4786,0.7638,0.7079,0.6631
158,0.5188,0.7854,0.6959,0.6595
159,0.5181,0.7770,0.6840,0.6452
160,0.4449,0.7878,0.7189,0.6416
161,0.4363,0.8118,0.7034,0.6344
162,0.4408,0.7998,0.6946,0.6738
163,0.4241,0.7854,0.7155,0.6631
164,0.5772,0.7974,0.7140,0.6631
165,0.4301,0.8118,0.7460,0.6487
166,0.4419,0.7914,0.7440,0.6523
167,0.5367,0.8034,0.7417,0.6559
168,0.5124,0.8022,0.7455,0.6344
169,0.5415,0.7794,0.7106,0.6703
170,0.4922,0.7578,0.7075,0.6452
171,0.4494,0.7926,0.6771,0.6523
172,0.4409,0.7842,0.6975,0.6595
173,0.4705,0.7866,0.7022,0.6846
174,0.4730,0.7854,0.7582,0.6416
175,0.5787,0.7806,0.7390,0.6487
176,0.4759,0.7686,0.7794,0.6523
