Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8038,0.1956,1.7812,0.2067
2,1.7645,0.2533,1.7746,0.1667
3,1.7651,0.2622,1.7628,0.2600
4,1.6798,0.3044,1.7488,0.2533
5,1.7339,0.2911,1.7176,0.2867
6,1.6179,0.2600,1.7280,0.2200
7,1.6453,0.3067,1.7552,0.2467
8,1.6855,0.3156,1.7394,0.2867
9,1.6529,0.3178,1.8275,0.2467
10,1.6958,0.3067,1.7581,0.2867
11,1.6855,0.3089,1.7431,0.3067
12,1.6030,0.3356,1.7416,0.2667
13,1.7021,0.2978,1.7203,0.2333
14,1.6220,0.3844,1.7403,0.2867
15,1.6368,0.3756,1.7358,0.2733
16,1.5929,0.3400,1.7209,0.2733
17,1.6330,0.3489,1.7455,0.2800
18,1.6186,0.3911,1.7817,0.2333
19,1.6208,0.3556,1.7828,0.2133
20,1.5286,0.3889,1.7593,0.2133
21,1.5790,0.3867,1.7377,0.2333
22,1.5627,0.3689,1.7215,0.2800
23,1.6053,0.3822,1.7383,0.3267
24,1.5496,0.3822,1.6709,0.2933
25,1.5156,0.4200,1.6726,0.3267
26,1.4085,0.4356,1.6918,0.3067
27,1.5769,0.4089,1.7480,0.2800
28,1.4095,0.4178,1.7201,0.2667
29,1.5033,0.4756,1.7007,0.3000
30,1.5597,0.3556,1.7294,0.2533
31,1.6536,0.2600,1.7792,0.2067
32,1.6796,0.2844,1.8090,0.2400
33,1.6459,0.3111,1.8204,0.2400
34,1.6796,0.2867,1.7761,0.2600
35,1.6412,0.3200,1.7643,0.2267
36,1.5698,0.3556,1.7731,0.2067
37,1.7283,0.3422,1.7881,0.2533
38,1.5732,0.3622,1.7632,0.2600
39,1.5784,0.3711,1.8239,0.2400
40,1.6259,0.3400,1.7867,0.2467
41,1.6114,0.3822,1.7548,0.2333
42,1.5376,0.3800,1.7594,0.2267
43,1.5418,0.3733,1.7482,0.2467
44,1.5546,0.3933,1.7378,0.2467
45,1.5394,0.3911,1.7702,0.2733
