Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6330,0.6525,0.6810,0.6809
2,0.6175,0.6950,0.6836,0.6809
3,0.5375,0.6879,0.6841,0.6809
4,0.5395,0.7234,0.6755,0.6809
5,0.4904,0.7234,0.6627,0.6809
6,0.4873,0.7447,0.6564,0.6809
7,0.4319,0.7943,0.6537,0.6809
8,0.4545,0.7943,0.6467,0.6809
9,0.5725,0.7447,0.6357,0.6809
10,0.5751,0.7518,0.6149,0.6809
11,0.4843,0.7943,0.6095,0.6809
12,0.4174,0.8085,0.5985,0.6809
13,0.4780,0.7872,0.5845,0.6809
14,0.4328,0.7943,0.5639,0.6596
15,0.4745,0.7376,0.5645,0.6809
16,0.5058,0.7660,0.5414,0.7447
17,0.4709,0.8227,0.5178,0.7234
18,0.4427,0.8156,0.4775,0.8085
19,0.4008,0.8085,0.4555,0.8298
20,0.4361,0.8014,0.4223,0.8085
21,0.3861,0.8014,0.4037,0.8511
22,0.4149,0.7872,0.4205,0.8085
23,0.4175,0.8014,0.5738,0.7021
24,0.3570,0.8085,0.5379,0.7021
25,0.4572,0.8085,0.4792,0.7447
26,0.4212,0.8298,0.4410,0.7447
27,0.4421,0.7943,0.5625,0.6809
28,0.4147,0.8014,0.4853,0.7660
29,0.4203,0.8014,0.4314,0.7872
30,0.3734,0.8156,0.4900,0.8511
31,0.4673,0.8440,0.5703,0.8511
32,0.4804,0.8156,0.6374,0.8511
33,0.3763,0.8298,0.5471,0.8511
34,0.3452,0.8511,0.5521,0.8298
35,0.3468,0.8440,0.5467,0.7872
36,0.3612,0.8369,0.5316,0.8298
37,0.3145,0.8369,0.4969,0.7872
38,0.3995,0.8723,0.4892,0.7872
39,0.3657,0.8511,0.4725,0.7872
40,0.3560,0.8652,0.4363,0.8298
41,0.3437,0.8582,0.5136,0.8085
42,0.3753,0.8227,0.5613,0.7660
43,0.3118,0.8440,0.5045,0.7872
44,0.4104,0.8582,0.5048,0.7872
45,0.3602,0.8582,0.4734,0.8085
46,0.3321,0.8298,0.4857,0.8085
47,0.4225,0.8085,0.5337,0.8298
48,0.3392,0.8440,0.5532,0.8298
49,0.3031,0.8582,0.5810,0.8298
50,0.3768,0.8582,0.6485,0.8085
51,0.3842,0.8511,0.5912,0.8298
52,0.3053,0.8582,0.6109,0.7872
