Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6584,0.5899,0.6734,0.6201
2,0.5984,0.6715,0.6326,0.6810
3,0.5696,0.6966,0.5850,0.6810
4,0.5854,0.6859,0.6058,0.6918
5,0.5335,0.7146,0.5762,0.7025
6,0.5696,0.7194,0.5727,0.7025
7,0.5595,0.7146,0.5517,0.7025
8,0.5407,0.6894,0.5604,0.6631
9,0.5639,0.6894,0.6222,0.6738
10,0.5832,0.7062,0.5513,0.6882
11,0.5500,0.7230,0.5470,0.7133
12,0.5293,0.7122,0.5521,0.7240
13,0.5413,0.7242,0.5438,0.7025
14,0.5697,0.7278,0.5644,0.6631
15,0.5398,0.6978,0.5624,0.6667
16,0.5225,0.7134,0.5405,0.6989
17,0.5685,0.7422,0.5254,0.7204
18,0.5607,0.7170,0.5714,0.7133
19,0.5328,0.7266,0.5584,0.7133
20,0.5151,0.7134,0.5528,0.7204
21,0.5698,0.7302,0.5765,0.7133
22,0.5211,0.7350,0.5678,0.7240
23,0.5257,0.7266,0.5784,0.6810
24,0.5757,0.7014,0.5667,0.7025
25,0.6480,0.7290,0.5734,0.7097
26,0.5197,0.7434,0.5798,0.7061
27,0.5415,0.7206,0.6075,0.7025
28,0.5196,0.7362,0.6586,0.6774
29,0.5589,0.7314,0.5731,0.7204
30,0.5293,0.7410,0.5949,0.6774
31,0.5137,0.7590,0.5682,0.7133
32,0.5328,0.7386,0.6011,0.7097
33,0.5119,0.7362,0.5877,0.6380
34,0.5454,0.7134,0.5490,0.7455
35,0.5781,0.7158,0.5589,0.7061
36,0.5642,0.7134,0.5672,0.7133
37,0.5778,0.7038,0.5602,0.7276
38,0.5386,0.7194,0.5874,0.6738
39,0.5395,0.7194,0.5875,0.7133
40,0.5372,0.7338,0.6253,0.6237
41,0.5367,0.7206,0.5933,0.6559
42,0.5568,0.7266,0.5697,0.7133
43,0.5372,0.7038,0.5628,0.7204
44,0.5523,0.7206,0.5350,0.7312
45,0.5834,0.7110,0.5404,0.7563
46,0.5469,0.7170,0.5429,0.7419
47,0.5282,0.7398,0.6803,0.5699
48,0.5189,0.7062,0.5440,0.7312
49,0.5240,0.7242,0.5647,0.7384
50,0.5040,0.7350,0.5707,0.7097
51,0.5366,0.7278,0.5429,0.7455
52,0.5635,0.7362,0.6128,0.6308
53,0.5189,0.7254,0.5415,0.7384
54,0.5223,0.7050,0.5509,0.7240
55,0.5288,0.7458,0.5453,0.7491
56,0.5684,0.7326,0.5785,0.7168
57,0.5767,0.7134,0.5830,0.7706
58,0.5673,0.7146,0.5747,0.7168
59,0.5595,0.7098,0.5624,0.7204
60,0.5381,0.7254,0.5666,0.7384
61,0.5399,0.7302,0.5622,0.7419
62,0.5506,0.7086,0.5601,0.7384
63,0.5541,0.7314,0.5072,0.7384
64,0.5291,0.7194,0.5237,0.7491
65,0.5241,0.7194,0.5235,0.7670
66,0.5102,0.7242,0.5475,0.7419
67,0.5472,0.7638,0.5475,0.7348
68,0.5197,0.7458,0.5401,0.7455
69,0.4923,0.7458,0.5359,0.7133
70,0.5098,0.7446,0.5635,0.6882
71,0.5405,0.7470,0.5305,0.7563
72,0.5164,0.7506,0.5207,0.7599
73,0.5860,0.7386,0.5281,0.7634
74,0.5175,0.7326,0.5215,0.7563
75,0.4929,0.7566,0.5726,0.6738
76,0.5123,0.7206,0.5305,0.7097
77,0.5444,0.7542,0.5123,0.7384
78,0.4903,0.7434,0.5337,0.7276
79,0.5466,0.7266,0.5185,0.7491
80,0.4918,0.7530,0.5301,0.7527
81,0.5614,0.7410,0.5369,0.7384
82,0.4983,0.7494,0.5768,0.7348
83,0.5372,0.7626,0.5576,0.7312
84,0.5721,0.7470,0.6008,0.7133
85,0.5476,0.7338,0.5836,0.7240
86,0.5298,0.7230,0.5864,0.6882
87,0.5395,0.7326,0.5285,0.7204
88,0.5349,0.7194,0.5537,0.7061
89,0.5414,0.7182,0.5437,0.7240
90,0.5245,0.7290,0.5572,0.7419
91,0.5498,0.7254,0.5714,0.7455
92,0.5350,0.7446,0.5568,0.7133
93,0.5183,0.7314,0.5906,0.6559
94,0.5611,0.7038,0.6281,0.6559
95,0.5232,0.7194,0.6762,0.6810
96,0.5404,0.7026,0.6086,0.6667
97,0.5202,0.7290,0.5537,0.7061
98,0.5984,0.6966,0.6220,0.7025
99,0.5482,0.7062,0.5885,0.7168
100,0.5665,0.7278,0.5712,0.7204
101,0.5743,0.7362,0.5540,0.7455
102,0.5608,0.7242,0.5512,0.7384
103,0.5334,0.7446,0.5570,0.7276
104,0.5368,0.7218,0.5560,0.7563
105,0.5362,0.7098,0.5284,0.7061
106,0.5316,0.7266,0.5560,0.7168
107,0.5346,0.7098,0.6322,0.6595
108,0.5377,0.7110,0.5780,0.6918
109,0.5419,0.7362,0.5898,0.6989
110,0.5370,0.7206,0.5808,0.7097
111,0.5355,0.7254,0.5722,0.7240
112,0.5201,0.7434,0.5742,0.7312
113,0.5262,0.7374,0.5666,0.7312
114,0.5342,0.7326,0.5646,0.6953
115,0.5061,0.7434,0.5762,0.7097
116,0.5266,0.7422,0.6046,0.7133
117,0.4955,0.7422,0.5938,0.7061
118,0.5421,0.7482,0.5755,0.7097
119,0.5092,0.7434,0.5775,0.7097
120,0.4848,0.7470,0.5690,0.7025
121,0.5310,0.7326,0.5880,0.6774
122,0.5818,0.7422,0.5728,0.6989
123,0.5110,0.7446,0.6122,0.6703
124,0.5538,0.6918,0.5864,0.6703
125,0.5141,0.7314,0.5770,0.6989
126,0.6179,0.7086,0.5814,0.6918
127,0.5634,0.7350,0.5837,0.6918
128,0.5418,0.7422,0.5968,0.6882
129,0.5109,0.7422,0.5985,0.6882
130,0.5193,0.7338,0.6210,0.6918
131,0.5655,0.7494,0.5983,0.7025
132,0.5257,0.7590,0.6104,0.6846
133,0.5419,0.7374,0.6386,0.6953
134,0.5777,0.7350,0.6115,0.6774
135,0.5373,0.7530,0.6171,0.6703
136,0.5322,0.7434,0.5940,0.6953
137,0.5561,0.7566,0.6149,0.6631
138,0.5272,0.7350,0.5916,0.6989
139,0.5675,0.7314,0.6105,0.6989
140,0.5278,0.7518,0.5856,0.7312
141,0.5515,0.7518,0.5958,0.7025
142,0.6706,0.7470,0.6049,0.6953
143,0.5092,0.7410,0.6527,0.6237
144,0.5043,0.7446,0.5952,0.7168
145,0.4915,0.7350,0.5817,0.7133
146,0.5425,0.7506,0.5968,0.7168
147,0.4995,0.7578,0.6191,0.6953
148,0.5151,0.7590,0.6341,0.6989
149,0.4851,0.7314,0.5808,0.7168
150,0.4950,0.7410,0.6160,0.6989
151,0.5466,0.7470,0.5910,0.7133
152,0.5011,0.7458,0.6184,0.6774
153,0.5096,0.7530,0.6115,0.6846
154,0.5592,0.7518,0.5920,0.7240
155,0.4751,0.7422,0.6004,0.7097
156,0.4950,0.7506,0.5963,0.7133
157,0.4901,0.7494,0.6325,0.6882
158,0.5294,0.7686,0.6066,0.7097
159,0.5245,0.7554,0.6208,0.6559
160,0.5030,0.7566,0.6084,0.6846
161,0.5036,0.7530,0.5607,0.7348
162,0.5514,0.7518,0.5616,0.7419
163,0.5299,0.7530,0.5948,0.6918
164,0.5100,0.7590,0.6399,0.6201
165,0.4865,0.7554,0.5985,0.7097
166,0.4634,0.7614,0.5902,0.7133
167,0.4746,0.7806,0.6143,0.6882
168,0.5047,0.7698,0.6321,0.6559
169,0.4886,0.7578,0.6442,0.6738
170,0.4918,0.7686,0.5801,0.7204
171,0.5483,0.7506,0.5927,0.7133
172,0.5513,0.7734,0.6133,0.6738
173,0.5460,0.7578,0.6106,0.6953
174,0.4625,0.7794,0.6546,0.6380
175,0.5006,0.7722,0.5945,0.6953
176,0.4789,0.7662,0.5868,0.6989
177,0.4747,0.7830,0.6084,0.6953
178,0.4539,0.7722,0.6378,0.6703
179,0.5194,0.7590,0.6029,0.6989
180,0.4770,0.7578,0.5815,0.7133
181,0.5088,0.7578,0.5908,0.7276
182,0.4773,0.7506,0.5770,0.6810
183,0.4684,0.7602,0.6110,0.6846
184,0.4729,0.7662,0.5722,0.7312
185,0.4984,0.7626,0.6498,0.6272
