Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.7925,0.2200,1.8012,0.1867
2,1.7508,0.2622,1.7897,0.2000
3,1.7218,0.2822,1.7571,0.2133
4,1.6946,0.2889,1.7350,0.2400
5,1.7120,0.3022,1.7224,0.2867
6,1.7107,0.2956,1.8023,0.2000
7,1.6757,0.3156,1.7613,0.2333
8,1.6470,0.3156,1.7345,0.2600
9,1.6177,0.2644,1.7173,0.2067
10,1.6929,0.2667,1.7062,0.1733
11,1.6781,0.2978,1.7097,0.2400
12,1.5878,0.3111,1.7043,0.2533
13,1.6939,0.2978,1.7130,0.2533
14,1.5761,0.3267,1.6915,0.2667
15,1.6065,0.3489,1.7131,0.2467
16,1.6069,0.3578,1.7072,0.2400
17,1.5885,0.3378,1.7487,0.2400
18,1.6814,0.3333,1.7685,0.2667
19,1.5670,0.3467,1.7819,0.2333
20,1.5209,0.3956,1.7461,0.2200
21,1.5805,0.4244,1.7094,0.2400
22,1.5348,0.4067,1.6776,0.2933
23,1.4285,0.4044,1.6659,0.3200
24,1.5099,0.4222,1.6815,0.2867
25,1.4656,0.4667,1.7343,0.2867
26,1.4867,0.4178,1.6749,0.2867
27,1.5258,0.4133,1.6811,0.2933
28,1.5278,0.4222,1.6316,0.3067
29,1.5349,0.4400,1.6941,0.3267
30,1.5924,0.4311,1.6939,0.2867
31,1.5030,0.4267,1.6543,0.3867
32,1.5774,0.4111,1.7275,0.2667
33,1.5193,0.4000,1.7052,0.3200
34,1.5529,0.4267,1.7080,0.2933
35,1.5880,0.4111,1.7500,0.2400
36,1.5646,0.3867,1.6455,0.2933
37,1.5307,0.4067,1.6177,0.3267
38,1.5279,0.3400,1.6590,0.3267
39,1.5012,0.3578,1.6926,0.2733
40,1.6299,0.3467,1.6670,0.2333
41,1.7364,0.3089,2.0800,0.2067
42,1.7062,0.3089,1.7809,0.2333
43,1.8071,0.3556,1.7350,0.2200
44,1.5593,0.3667,1.7256,0.2400
45,1.5622,0.3844,1.7448,0.2733
46,1.5964,0.3911,1.6615,0.3267
47,1.5454,0.3844,1.6140,0.3400
48,1.5081,0.4267,1.6170,0.3800
49,1.5592,0.4022,1.6828,0.3200
50,1.5813,0.4356,1.6260,0.3200
51,1.5628,0.3844,1.6951,0.3133
52,1.6606,0.3756,1.7165,0.3600
