Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.7157,0.5532,0.6671,0.6809
2,0.6255,0.6525,0.6624,0.6809
3,0.6009,0.7376,0.6562,0.6809
4,0.5177,0.7234,0.6456,0.6809
5,0.4724,0.7447,0.6420,0.6809
6,0.4558,0.7872,0.6475,0.6809
7,0.3873,0.8014,0.6947,0.2979
8,0.4038,0.7943,0.8388,0.3191
9,0.3616,0.8298,1.0618,0.3191
10,0.3014,0.8723,1.3098,0.3191
11,0.3085,0.8511,1.3972,0.3404
12,0.3504,0.8369,1.2388,0.4255
13,0.3315,0.8652,0.8175,0.5532
14,0.3076,0.8652,0.4568,0.8085
15,0.3203,0.8440,0.3485,0.8723
16,0.4418,0.9007,0.3630,0.8298
17,0.3253,0.8865,0.3691,0.8723
18,0.2369,0.9149,0.3670,0.8723
19,0.3127,0.8652,0.3449,0.8298
20,0.3493,0.8156,0.4322,0.7447
21,0.5480,0.8582,0.4268,0.8298
22,0.5078,0.7872,0.4407,0.7872
23,0.3714,0.8511,0.4649,0.7447
24,0.4749,0.7801,0.4346,0.7872
25,0.4161,0.8298,0.4037,0.8298
26,0.4438,0.8014,0.3873,0.8298
27,0.3808,0.8440,0.3901,0.8511
28,0.4975,0.8511,0.4061,0.8511
29,0.3990,0.8582,0.4746,0.8298
30,0.3252,0.8865,0.5090,0.7872
31,0.3438,0.8794,0.5512,0.7872
32,0.3343,0.8652,0.4565,0.8298
33,0.5843,0.8369,0.4445,0.8298
34,0.3264,0.8511,0.4807,0.8298
35,0.2709,0.8511,0.6380,0.7660
36,0.4167,0.8511,0.5905,0.7447
37,0.3100,0.8511,0.6724,0.7234
38,0.2601,0.9007,0.7001,0.7021
39,0.3150,0.8865,0.6562,0.7021
40,0.3674,0.8369,0.5377,0.7021
41,0.2454,0.8794,0.5176,0.7021
42,0.4373,0.8582,0.5602,0.6809
43,0.4498,0.8511,0.5761,0.7021
44,0.2893,0.8794,0.5331,0.7234
45,0.3011,0.8440,0.4394,0.7660
46,0.2951,0.8369,0.4152,0.7660
47,0.3511,0.8440,0.4507,0.7660
48,0.2780,0.8865,0.4577,0.7660
49,0.2384,0.8652,0.5086,0.7872
50,0.3519,0.8794,0.5617,0.7660
51,0.3369,0.8582,0.6099,0.7660
52,0.2781,0.8723,0.6713,0.7447
53,0.3255,0.8156,0.6245,0.8085
54,0.2433,0.8652,0.5914,0.8085
55,0.3148,0.8511,0.5937,0.7872
56,0.3087,0.9007,0.5695,0.7447
57,0.3450,0.8936,0.5161,0.8085
58,0.2908,0.9220,0.4753,0.8085
59,0.3040,0.9220,0.4806,0.7872
60,0.2553,0.9007,0.5013,0.8085
61,0.2371,0.9149,0.5049,0.7660
62,0.3196,0.8723,0.5248,0.7660
63,0.3385,0.8794,0.5322,0.6809
64,0.2478,0.9362,0.5406,0.7660
65,0.2292,0.9078,0.5319,0.8085
66,0.1923,0.9291,0.5723,0.7660
67,0.2799,0.9007,0.5341,0.8085
68,0.4185,0.8440,0.4299,0.7447
69,0.3368,0.8440,0.5095,0.7447
70,0.3186,0.8794,0.5317,0.7234
71,0.3839,0.9007,0.5524,0.7234
72,0.3881,0.8582,0.5463,0.7447
73,0.3807,0.8865,0.6140,0.7021
74,0.3438,0.8794,0.7841,0.6809
