Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6908,0.5887,0.6869,0.6810
2,0.5951,0.6835,0.6219,0.6953
3,0.5582,0.7230,0.6123,0.6523
4,0.5511,0.7230,0.6112,0.6380
5,0.5590,0.7086,0.5853,0.6810
6,0.5395,0.7314,0.5762,0.6738
7,0.5379,0.7062,0.5800,0.7097
8,0.5895,0.7326,0.5406,0.7527
9,0.5828,0.7410,0.5424,0.7455
10,0.5516,0.7398,0.5581,0.7276
11,0.5882,0.7194,0.5840,0.7240
12,0.5538,0.7254,0.5488,0.7168
13,0.5719,0.7434,0.5749,0.7061
14,0.5726,0.7242,0.6027,0.7168
15,0.5234,0.7050,0.5604,0.6846
16,0.5686,0.7110,0.5535,0.7276
17,0.5634,0.7134,0.5609,0.7384
18,0.5581,0.6859,0.5602,0.6989
19,0.5526,0.6978,0.5526,0.7025
20,0.5521,0.7050,0.6793,0.6093
21,0.5355,0.7014,0.5872,0.6559
22,0.5513,0.7086,0.5657,0.7419
23,0.5915,0.7062,0.5788,0.6738
24,0.5410,0.7134,0.6214,0.6667
25,0.5897,0.6978,0.5770,0.6810
26,0.5535,0.6894,0.6537,0.6452
27,0.5930,0.6966,0.5537,0.7312
28,0.5498,0.7062,0.5774,0.7276
29,0.5225,0.7074,0.5415,0.7276
30,0.6280,0.7266,0.5513,0.7348
31,0.5807,0.7134,0.5839,0.7133
32,0.5207,0.7182,0.5766,0.7168
33,0.5297,0.7482,0.5668,0.6882
34,0.5420,0.7326,0.5737,0.7312
35,0.5207,0.7530,0.5895,0.6989
36,0.5725,0.7242,0.5392,0.7276
37,0.5412,0.7242,0.5587,0.7097
38,0.5175,0.7398,0.5734,0.6953
39,0.5140,0.7470,0.5550,0.7097
40,0.5227,0.7194,0.5609,0.7419
41,0.5093,0.7350,0.5398,0.7240
42,0.5064,0.7554,0.5549,0.7133
43,0.6086,0.7386,0.5653,0.7384
44,0.5043,0.7446,0.5836,0.7133
45,0.4971,0.7530,0.5511,0.7348
46,0.5165,0.7314,0.5634,0.6918
47,0.5277,0.7422,0.5686,0.7204
48,0.5356,0.7290,0.5745,0.7133
49,0.4910,0.7458,0.5764,0.7204
50,0.4960,0.7494,0.5361,0.7240
51,0.5582,0.7398,0.5319,0.7384
52,0.4967,0.7350,0.5498,0.7097
53,0.5225,0.7458,0.5348,0.7419
54,0.4920,0.7578,0.5541,0.7168
55,0.5568,0.7626,0.5509,0.7133
56,0.5285,0.7542,0.5672,0.7025
57,0.5419,0.7530,0.5553,0.7348
58,0.4854,0.7662,0.5594,0.7491
59,0.4967,0.7530,0.5335,0.7527
60,0.5044,0.7470,0.5320,0.7240
