Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8865,0.1667,1.7907,0.1733
2,1.6548,0.3089,1.7934,0.2000
3,1.6339,0.3489,1.7714,0.2000
4,1.6368,0.3822,1.7514,0.2600
5,1.6298,0.3578,1.6814,0.2867
6,1.6181,0.4022,1.6787,0.2933
7,1.5886,0.3978,1.6876,0.2667
8,1.5780,0.3689,1.6616,0.3000
9,1.6160,0.3644,1.7257,0.2533
10,1.5673,0.3844,1.6265,0.3267
11,1.5405,0.4022,1.6500,0.3200
12,1.5362,0.4133,1.6494,0.3000
13,1.5276,0.3778,1.6326,0.3000
14,1.5279,0.4156,1.5716,0.3533
15,1.5289,0.4044,1.6029,0.2733
16,1.5102,0.4244,1.6535,0.2733
17,1.5094,0.4133,1.6397,0.3133
18,1.4342,0.4356,1.6102,0.3067
19,1.4399,0.4356,1.6507,0.3133
20,1.4904,0.4378,1.6972,0.3000
21,1.5012,0.4467,1.6138,0.3400
22,1.5197,0.4356,1.5973,0.3200
23,1.4150,0.4689,1.6449,0.3267
24,1.4996,0.4933,1.6226,0.3333
25,1.4282,0.4644,1.5935,0.3467
26,1.3802,0.4911,1.5766,0.3333
27,1.4278,0.4556,1.6113,0.2667
28,1.4321,0.4911,1.5800,0.3333
29,1.4285,0.5000,1.7043,0.3200
30,1.3272,0.4933,1.6687,0.3067
31,1.3890,0.5111,1.6093,0.3400
32,1.4134,0.5044,1.5961,0.3067
33,1.3090,0.5222,1.7843,0.3133
34,1.3323,0.5244,1.5734,0.3600
35,1.3861,0.4867,1.5477,0.3400
36,1.3200,0.5467,1.6245,0.3733
37,1.3536,0.5756,1.5479,0.3333
38,1.2636,0.5244,1.6126,0.3467
39,1.2720,0.5622,1.5595,0.3467
40,1.2114,0.5378,1.5396,0.3400
41,1.3229,0.5511,1.5081,0.3867
42,1.3097,0.5556,1.5080,0.4200
43,1.2265,0.6178,1.5034,0.4133
44,1.2814,0.6156,1.6203,0.4000
45,1.2414,0.5778,1.5924,0.4267
46,1.3088,0.5311,1.7990,0.3533
47,1.2996,0.5489,1.6167,0.3600
48,1.2665,0.5400,1.5035,0.3867
49,1.3110,0.5533,1.6181,0.3600
50,1.3615,0.5444,1.5669,0.3533
51,1.3063,0.5711,1.6351,0.3400
52,1.2166,0.5733,1.4807,0.4000
53,1.1686,0.6044,1.4454,0.4200
54,1.1764,0.6333,1.4809,0.3933
55,1.1790,0.6311,1.5600,0.3800
56,1.2413,0.5578,1.7031,0.3600
57,1.2388,0.5800,1.6601,0.3667
58,1.0646,0.6311,1.6340,0.3933
59,1.2199,0.6200,1.6791,0.3667
60,1.0967,0.5867,1.7365,0.3533
61,1.1964,0.6444,1.6531,0.3933
62,1.1341,0.6756,1.6598,0.3800
63,1.1050,0.6889,1.6757,0.3800
64,1.1538,0.7111,1.5957,0.3667
65,1.1536,0.7000,1.6731,0.4000
66,1.0978,0.6600,1.5605,0.4067
67,1.0874,0.6533,1.7358,0.4333
68,1.0930,0.6689,1.5690,0.4133
69,1.1036,0.6778,1.6234,0.4000
70,1.2266,0.6422,1.8140,0.3600
71,1.2323,0.5822,1.8155,0.4133
72,1.1721,0.6000,1.6080,0.4200
73,1.0804,0.6467,1.7630,0.3733
74,1.1669,0.6244,1.7762,0.3067
75,1.1606,0.6689,1.7149,0.4600
76,0.9945,0.6667,1.5087,0.4467
77,1.0041,0.7178,1.5327,0.4200
78,1.1115,0.6756,1.6032,0.4067
79,0.9658,0.7089,1.6770,0.3933
80,1.0284,0.6911,1.6620,0.4333
81,1.0734,0.6867,1.8364,0.4067
82,1.0731,0.6400,1.7084,0.4400
83,1.1235,0.6711,1.6926,0.4000
84,0.9439,0.7178,1.5338,0.4067
85,1.0152,0.7111,1.5740,0.3933
86,0.9456,0.7178,1.6126,0.4000
87,0.9213,0.6778,1.7147,0.3600
88,0.9804,0.6844,1.6223,0.4400
89,1.0640,0.7133,1.6690,0.4267
90,0.9508,0.7311,1.6023,0.4733
91,0.8909,0.7711,1.7070,0.3733
92,0.9479,0.7467,1.5294,0.4333
93,0.9742,0.7289,1.6329,0.4400
94,0.9303,0.7711,1.5300,0.4400
95,1.0758,0.7044,1.5257,0.4800
96,0.9800,0.7178,1.5672,0.4333
97,1.0070,0.7156,1.6482,0.4600
98,0.9299,0.7533,1.5795,0.4600
99,0.7653,0.7889,1.5000,0.4667
100,0.9758,0.7178,1.5237,0.4467
101,0.8743,0.7556,1.5165,0.4800
102,0.9297,0.7356,1.6152,0.4200
103,0.8974,0.7400,1.6503,0.4067
104,0.9138,0.7311,1.6159,0.3867
105,0.8610,0.7378,1.5823,0.4200
106,0.8885,0.7311,1.4743,0.4133
107,0.8599,0.7600,1.5536,0.4600
108,0.9858,0.7800,1.6491,0.4400
109,0.9038,0.7556,1.6294,0.3933
110,0.9554,0.7044,1.7160,0.4333
111,0.9065,0.7311,1.6155,0.4267
112,0.7822,0.7489,1.5896,0.4533
113,1.0174,0.7333,1.5928,0.4333
114,0.9432,0.7622,1.7439,0.4000
115,0.9051,0.7978,1.6617,0.4533
116,0.8735,0.8156,1.7360,0.4133
117,0.9241,0.7800,1.7081,0.4000
118,0.8006,0.8000,1.7118,0.4133
119,0.8843,0.7489,1.7702,0.4000
120,0.9331,0.7578,1.7345,0.4000
121,1.0221,0.7267,1.8708,0.4067
122,0.8958,0.7022,1.6683,0.3400
123,0.8373,0.7044,1.6897,0.4067
124,0.9354,0.7289,1.7117,0.4000
125,0.9237,0.7356,1.7143,0.3933
126,0.8114,0.7200,1.6119,0.4200
127,0.8201,0.7600,1.5582,0.4667
128,0.7106,0.8067,1.5718,0.4867
129,0.7808,0.7622,1.5541,0.4667
130,0.6763,0.8156,1.6756,0.4000
131,0.7527,0.7733,1.5730,0.4600
132,0.6775,0.8333,1.5091,0.4533
133,0.7624,0.8111,1.5391,0.4533
134,0.7275,0.8000,1.5785,0.4200
135,0.7888,0.7800,1.5797,0.4600
136,0.8623,0.7778,1.6269,0.4200
137,0.6608,0.8022,1.7401,0.4600
138,0.6842,0.8156,1.5788,0.4800
139,0.6329,0.8578,1.6445,0.3800
140,0.8267,0.8200,1.7001,0.4333
141,0.6997,0.8289,1.7976,0.3933
142,0.6412,0.8622,1.5417,0.4667
143,0.6954,0.8378,1.6187,0.4400
144,0.6925,0.8578,1.6157,0.4267
145,0.9934,0.8289,1.7014,0.4800
146,0.6788,0.8400,1.6606,0.4333
147,0.9600,0.8156,1.5888,0.4533
148,0.6240,0.8378,1.6235,0.4467
149,0.6708,0.8222,1.5966,0.4267
150,0.6829,0.8044,1.6253,0.4533
151,0.8549,0.8667,1.6092,0.4400
152,0.5476,0.8622,1.7393,0.4267
153,0.6737,0.8800,1.5931,0.4600
154,0.7763,0.8267,1.5936,0.4733
155,0.7884,0.8378,1.5714,0.4867
156,0.8221,0.8600,1.5229,0.4600
157,0.7151,0.8400,1.6073,0.4400
158,0.6995,0.8267,1.7741,0.4400
159,0.8034,0.8467,1.6136,0.4600
160,0.8100,0.8244,2.2896,0.3733
161,1.0140,0.7467,1.9413,0.4533
162,0.8918,0.7911,2.0585,0.3733
163,0.7000,0.8156,1.9786,0.4133
164,0.9121,0.8200,1.8153,0.4200
165,0.9070,0.7889,1.5339,0.5133
166,0.6680,0.8133,1.4461,0.5200
167,0.7153,0.8200,1.5460,0.5000
168,0.9252,0.8044,1.6702,0.4067
169,0.8459,0.7178,1.6648,0.4400
170,0.8205,0.7667,1.6882,0.3933
171,0.6670,0.8133,1.8363,0.4067
172,0.8160,0.8067,1.9548,0.3800
173,0.7676,0.8267,1.7233,0.4533
174,0.6840,0.8111,1.7527,0.4200
175,0.8624,0.7667,1.8010,0.4000
176,0.8010,0.8044,1.7723,0.3867
177,0.7951,0.7556,1.8268,0.4067
178,0.7408,0.7711,1.8621,0.3933
179,0.7458,0.8178,1.7788,0.4533
180,0.7174,0.8000,1.9613,0.4133
181,0.7138,0.8156,1.8405,0.4667
182,0.6737,0.7911,1.9702,0.3933
183,0.8161,0.8156,1.9975,0.4000
184,0.8318,0.8022,1.8949,0.4133
185,0.8183,0.8089,1.8509,0.4067
186,0.7611,0.8067,1.9361,0.4400
187,0.7122,0.8244,1.7349,0.4467
188,0.6438,0.8444,1.7829,0.4000
189,0.5883,0.8400,1.8400,0.4000
190,0.5245,0.8422,1.7283,0.4600
191,0.6755,0.8689,1.6635,0.4800
192,0.6314,0.8667,1.8265,0.4400
193,0.4620,0.8800,1.7497,0.4600
194,0.6395,0.8689,1.8427,0.4533
195,0.5661,0.8689,1.8411,0.4133
196,0.8084,0.8422,1.8430,0.4133
197,0.5216,0.8578,1.9384,0.4200
198,0.6592,0.8800,1.8339,0.4267
199,0.6509,0.8622,1.8472,0.4533
200,0.5975,0.8378,1.7930,0.4400
201,0.6303,0.8600,1.6976,0.5000
202,0.7205,0.8756,1.7170,0.4867
203,0.6324,0.8511,1.7943,0.4600
204,0.6634,0.8133,1.7676,0.4667
205,0.6332,0.8644,1.7148,0.4667
206,0.6204,0.9089,1.8107,0.4533
207,0.5699,0.8444,1.7852,0.4400
208,0.4646,0.8889,1.6606,0.4867
209,0.4419,0.9156,1.6411,0.4800
210,0.5162,0.8756,1.7573,0.4400
211,0.5044,0.9244,1.8680,0.4733
212,0.6182,0.8800,1.7795,0.4400
213,0.6126,0.8956,1.6546,0.4867
214,0.5053,0.9044,1.7497,0.5133
215,0.6014,0.9244,1.7443,0.5267
216,0.4836,0.9289,1.7724,0.5067
217,0.4276,0.9000,1.7762,0.4800
218,0.7065,0.8889,1.8641,0.4667
219,0.5369,0.8844,1.7533,0.4600
220,0.5347,0.9044,1.8370,0.4400
221,0.5532,0.8711,1.7417,0.4533
222,0.4537,0.8978,1.8360,0.4400
223,0.5905,0.9044,1.6748,0.4867
224,0.6243,0.8956,1.6943,0.4333
225,0.7515,0.8800,2.0315,0.4200
226,0.7751,0.8022,2.0001,0.4200
227,0.5873,0.8489,1.7270,0.5000
228,0.5692,0.8689,1.7971,0.4600
229,0.5814,0.9022,1.8032,0.4667
230,0.4655,0.9200,1.7120,0.5067
231,0.8097,0.9200,1.7955,0.4933
232,0.6917,0.8800,1.8016,0.4267
233,0.5803,0.8467,2.0019,0.4200
234,0.6451,0.8378,1.8897,0.4133
235,0.5192,0.9044,1.7630,0.4733
236,0.4824,0.9089,1.8230,0.4733
237,0.4575,0.9067,1.8358,0.4800
238,0.4258,0.9467,1.8347,0.4467
239,0.6125,0.9178,1.9254,0.4267
240,0.5425,0.8889,1.7687,0.4200
241,0.4801,0.8578,2.1313,0.4267
242,0.7919,0.8689,1.7139,0.4533
243,0.6245,0.8867,1.8108,0.4467
244,0.6537,0.8533,1.9469,0.4533
245,0.7988,0.7844,1.9305,0.4600
246,0.9274,0.8756,1.7675,0.4800
247,0.5419,0.8578,1.8061,0.4600
248,0.6423,0.8822,1.8405,0.4600
