Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6652,0.6099,0.7072,0.3191
2,0.4956,0.7943,0.6764,0.6809
3,0.4249,0.8369,0.6474,0.6809
4,0.4101,0.8227,0.6225,0.6809
5,0.3883,0.8652,0.5960,0.6809
6,0.3492,0.8582,0.5740,0.6809
7,0.3023,0.8865,0.5506,0.7234
8,0.3444,0.8511,0.4886,0.8085
9,0.2444,0.9220,0.4480,0.8298
10,0.2747,0.9007,0.4303,0.8936
11,0.2495,0.9007,0.4602,0.8723
12,0.2759,0.9149,0.2990,0.9362
13,0.2426,0.9149,0.2928,0.9149
14,0.2308,0.9078,0.3385,0.9149
15,0.3337,0.9291,0.2591,0.8936
16,0.2255,0.9362,0.2333,0.8936
17,0.2081,0.9078,0.2377,0.9149
18,0.2135,0.9149,0.2928,0.9362
19,0.2213,0.9007,0.3490,0.9362
20,0.2016,0.9220,0.3692,0.8936
21,0.1719,0.9220,0.3718,0.8936
22,0.2039,0.9362,0.4206,0.8511
23,0.2306,0.9433,0.9998,0.4894
24,0.2035,0.9291,0.3641,0.9149
25,0.1963,0.9362,0.2434,0.8723
26,0.2880,0.9291,0.2615,0.8936
27,0.1681,0.9362,0.2901,0.8936
28,0.1578,0.9291,0.2875,0.8936
29,0.1826,0.9291,0.3514,0.9149
30,0.1847,0.9220,1.1682,0.3830
31,0.2424,0.9220,0.6010,0.7447
32,0.1818,0.9362,0.2533,0.9149
33,0.1660,0.9362,0.2350,0.9149
34,0.1923,0.9362,0.2221,0.9149
35,0.2183,0.9220,0.2580,0.9362
36,0.3583,0.9220,1.9473,0.3191
37,0.4491,0.9220,1.1969,0.4043
38,0.2618,0.9220,0.2694,0.8936
39,0.2311,0.9291,0.2602,0.8936
40,0.2026,0.9007,0.3264,0.8723
41,0.3071,0.8865,0.3312,0.8936
42,0.1880,0.9362,0.2945,0.9149
43,0.1717,0.9291,0.3123,0.9149
44,0.1506,0.9291,0.2964,0.9149
45,0.1690,0.9149,0.2815,0.8936
46,0.1390,0.9220,0.2803,0.9149
47,0.2182,0.9291,0.2951,0.8936
48,0.1456,0.9504,0.3442,0.9362
49,0.1869,0.9220,0.3105,0.9149
50,0.2271,0.9433,0.2650,0.8936
51,0.1231,0.9362,0.2525,0.8936
52,0.1485,0.9504,0.2687,0.8936
53,0.1363,0.9362,0.3045,0.8936
54,0.1235,0.9433,0.2918,0.8936
55,0.1435,0.9433,0.2797,0.9149
56,0.1137,0.9787,0.2734,0.9149
