Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6784,0.6643,0.6537,0.6201
2,0.5950,0.6847,0.6317,0.6523
3,0.5877,0.6942,0.6030,0.6918
4,0.5801,0.7086,0.6289,0.6846
5,0.5690,0.7050,0.6296,0.6953
6,0.5714,0.7014,0.6097,0.6774
7,0.5548,0.7158,0.6280,0.6810
8,0.5980,0.7038,0.6035,0.6989
9,0.5516,0.7182,0.6538,0.6523
10,0.5493,0.7254,0.6546,0.6774
11,0.5439,0.7266,0.6346,0.6846
12,0.5974,0.7074,0.6200,0.6738
13,0.5697,0.7086,0.6430,0.6989
14,0.5444,0.7302,0.6566,0.6882
15,0.5302,0.7530,0.6355,0.6559
16,0.5222,0.7350,0.6753,0.6846
17,0.5490,0.7434,0.7751,0.6272
18,0.5378,0.7302,0.7393,0.6057
19,0.6183,0.7422,0.6092,0.7025
20,0.5243,0.7422,0.6252,0.6882
21,0.5173,0.7494,0.6161,0.7097
22,0.5156,0.7590,0.6477,0.6380
23,0.4915,0.7494,0.6427,0.6703
24,0.4907,0.7662,0.6711,0.6774
25,0.4988,0.7434,0.6879,0.6882
26,0.5005,0.7530,0.6544,0.6559
27,0.4917,0.7530,0.6619,0.6953
28,0.5638,0.7578,0.6777,0.6165
29,0.4637,0.7602,0.7692,0.6237
30,0.4912,0.7698,0.6966,0.6344
31,0.5066,0.7398,0.6566,0.6774
32,0.5354,0.7542,0.6642,0.7061
33,0.5134,0.7542,0.6941,0.6703
34,0.5747,0.7278,0.7161,0.6093
35,0.5730,0.7278,0.6133,0.6452
36,0.5876,0.7170,0.6663,0.6918
37,0.5370,0.7146,0.6198,0.6774
38,0.5441,0.7158,0.6208,0.6918
39,0.5004,0.7506,0.5803,0.7133
40,0.5128,0.7398,0.5911,0.7061
41,0.5075,0.7530,0.6738,0.6810
42,0.4991,0.7518,0.6280,0.7133
43,0.5513,0.7674,0.7035,0.6308
44,0.5058,0.7530,0.6684,0.6774
45,0.4857,0.7590,0.6231,0.7168
46,0.5804,0.7722,0.6414,0.6953
47,0.7036,0.7170,0.6308,0.6595
48,0.6210,0.6894,0.6298,0.6774
49,0.5997,0.6990,0.6436,0.6631
50,0.5459,0.7098,0.6489,0.6272
51,0.5371,0.7398,0.6290,0.6738
52,0.5186,0.7326,0.6563,0.6631
53,0.5085,0.7530,0.6528,0.6344
54,0.5481,0.7614,0.6285,0.6667
55,0.5132,0.7374,0.6106,0.7025
56,0.5170,0.7542,0.6446,0.6559
57,0.4997,0.7374,0.6461,0.6846
58,0.5604,0.7518,0.6657,0.6738
59,0.5018,0.7566,0.6723,0.6416
60,0.4808,0.7686,0.6224,0.6882
61,0.4892,0.7818,0.6557,0.6774
62,0.4859,0.7398,0.6948,0.6452
63,0.4795,0.7602,0.6758,0.6774
64,0.5589,0.7758,0.6713,0.6918
65,0.5069,0.7530,0.7187,0.6416
66,0.5260,0.7842,0.6703,0.6631
67,0.4809,0.7578,0.7114,0.6201
68,0.4991,0.7746,0.6862,0.6810
69,0.5086,0.7578,0.6771,0.6452
70,0.4663,0.7602,0.6742,0.6738
71,0.4732,0.7818,0.6515,0.6846
72,0.5341,0.7326,0.6773,0.6703
73,0.4863,0.7650,0.6382,0.6953
74,0.4671,0.7734,0.6614,0.7097
75,0.4514,0.7818,0.6800,0.6810
76,0.4475,0.8022,0.6941,0.7025
77,0.4279,0.7866,0.6984,0.6738
78,0.4423,0.8070,0.7233,0.6953
79,0.5039,0.7938,1.0212,0.5090
80,0.5527,0.7170,0.6258,0.6953
81,0.5079,0.7506,0.7272,0.6452
82,0.5866,0.7242,0.6731,0.6846
83,0.4985,0.7470,0.6455,0.6738
84,0.4801,0.7758,0.6692,0.6667
85,0.5520,0.7866,0.6812,0.6810
86,0.5103,0.7746,0.7118,0.6595
87,0.5825,0.7758,0.7236,0.6057
88,0.4814,0.7554,0.6816,0.6129
