Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8117,0.1533,1.8777,0.2067
2,1.7745,0.1956,1.7684,0.1867
3,1.7430,0.2289,1.8055,0.1533
4,1.6491,0.2644,1.8075,0.2000
5,1.7575,0.2667,1.7757,0.1667
6,1.7025,0.2311,1.7973,0.2267
7,1.7037,0.2578,1.7950,0.2000
8,1.6825,0.3089,1.7626,0.2333
9,1.6789,0.2978,1.7802,0.2533
10,1.6686,0.2911,1.8098,0.2267
11,1.6954,0.2844,1.7494,0.2267
12,1.7172,0.2511,1.8193,0.1733
13,1.7040,0.2089,1.8140,0.1867
14,1.6617,0.2644,1.8161,0.2200
15,1.7139,0.2756,1.7808,0.2400
16,1.7005,0.2378,1.8565,0.1800
17,1.6710,0.2467,1.8181,0.1867
18,1.6850,0.3067,1.8401,0.2067
19,1.6768,0.2822,1.8022,0.2333
20,1.6658,0.3133,1.7585,0.2467
21,1.6730,0.2889,1.8183,0.2000
22,1.6651,0.2489,1.7839,0.2400
23,1.6598,0.2511,1.7702,0.2400
24,1.6483,0.3089,1.7971,0.2333
25,1.6101,0.2978,1.7965,0.2600
26,1.6396,0.3267,1.8249,0.2400
27,1.6508,0.3089,1.8020,0.2533
28,1.6406,0.2533,1.7807,0.2400
29,1.6363,0.2800,1.7816,0.2400
30,1.6195,0.3044,1.8066,0.2533
31,1.6061,0.3400,1.8007,0.2400
32,1.6425,0.3267,1.7595,0.2733
33,1.6214,0.2978,1.7626,0.2600
34,1.6174,0.3311,1.7645,0.2667
35,1.6328,0.3067,1.7739,0.2800
36,1.6379,0.3444,1.7524,0.2600
37,1.6498,0.2733,1.7936,0.2133
38,1.5542,0.3333,1.8199,0.2533
39,1.7943,0.2889,1.7639,0.2267
40,1.6795,0.2933,1.7870,0.2200
41,1.6525,0.2978,1.7765,0.2467
42,1.7047,0.2578,1.8767,0.2000
43,1.6732,0.2644,1.8432,0.2267
44,1.6972,0.3133,1.8642,0.2067
45,1.6777,0.2333,1.8740,0.2400
46,1.6802,0.2644,1.8702,0.2200
47,1.6440,0.3089,1.8213,0.2667
48,1.6142,0.3200,1.8129,0.2600
49,1.6921,0.3178,1.8362,0.2600
50,1.6368,0.2689,1.8497,0.2400
51,1.6443,0.2911,1.8709,0.2600
52,1.5874,0.3156,1.8060,0.2533
53,1.6160,0.3111,1.8419,0.2667
54,1.5830,0.3200,1.8452,0.2667
55,1.6127,0.3356,1.8661,0.3000
56,1.5570,0.3178,1.8533,0.2867
57,1.5809,0.3667,1.8181,0.2800
58,1.5647,0.3422,1.9565,0.2600
59,1.6187,0.3111,1.8248,0.3533
60,1.5843,0.3467,1.8672,0.3400
61,1.6097,0.3289,1.8379,0.2733
62,1.5979,0.3467,1.8879,0.2867
63,1.5926,0.3244,1.8885,0.3333
64,1.5512,0.3556,1.9526,0.3200
65,1.6811,0.2933,2.0296,0.2133
66,1.6400,0.2911,1.9392,0.2400
67,1.6211,0.3222,1.8656,0.2733
68,1.5655,0.3400,1.9485,0.2800
69,1.6151,0.3533,1.8591,0.3200
70,1.6051,0.3422,1.8737,0.3267
71,1.5402,0.3689,1.9385,0.2867
72,1.6106,0.3444,1.9224,0.3467
73,1.5427,0.3644,1.8964,0.3467
74,1.5729,0.3622,1.8924,0.3067
75,1.5600,0.3244,1.9952,0.2800
76,1.5446,0.3644,1.9516,0.2733
77,1.5373,0.3511,1.9893,0.2800
78,1.5515,0.3422,1.9737,0.3133
79,1.6006,0.3511,1.8417,0.2667
80,1.5881,0.3111,1.8622,0.2867
81,1.5546,0.3711,1.8557,0.2800
82,1.5123,0.3756,1.9253,0.3133
83,1.5256,0.3556,1.9705,0.3000
84,1.6209,0.3800,1.9700,0.3067
85,1.5954,0.3400,2.0028,0.2667
86,1.5775,0.3311,2.0341,0.2400
87,1.5921,0.3422,2.0262,0.2267
88,1.5819,0.3400,2.0009,0.3267
89,1.5061,0.3600,2.0586,0.2933
90,1.5222,0.3800,2.0219,0.2800
91,1.4902,0.3689,2.0926,0.2667
92,1.4669,0.3689,2.1899,0.2533
93,1.5485,0.3911,2.0186,0.2733
94,1.5340,0.3578,1.9919,0.3067
95,1.5085,0.3556,1.9070,0.3267
96,1.5535,0.3822,1.9955,0.2867
97,1.5627,0.3756,2.1180,0.2467
98,1.5014,0.3911,2.0482,0.2533
99,1.4918,0.3333,2.1807,0.2467
100,1.5995,0.3511,2.0616,0.2800
101,1.5068,0.3711,2.0339,0.3267
102,1.5523,0.3711,2.1751,0.3000
103,1.5465,0.3800,2.0806,0.3467
104,1.5270,0.4200,2.1895,0.3067
105,1.4789,0.3644,2.1520,0.3533
106,1.5022,0.4067,2.3249,0.2933
107,1.4498,0.3978,2.2198,0.2600
108,1.4951,0.4222,2.3388,0.3133
109,1.4855,0.4222,2.3344,0.2867
110,1.4875,0.4000,2.2852,0.3200
111,1.4577,0.3711,2.3310,0.3200
112,1.4393,0.3911,2.3727,0.3267
113,1.3999,0.4244,2.3684,0.2933
114,1.4957,0.3911,2.3487,0.3333
115,1.4622,0.4356,2.3833,0.3000
116,1.5332,0.4067,2.4377,0.2800
117,1.5457,0.3356,2.4252,0.2267
118,1.5007,0.3644,2.3767,0.2600
119,1.5041,0.3689,2.4551,0.2600
120,1.5305,0.3889,2.3938,0.3200
121,1.5563,0.3867,2.4386,0.2933
122,1.5193,0.4111,2.4098,0.2800
123,1.4703,0.3711,2.4485,0.2533
124,1.4993,0.4156,2.3311,0.3333
125,1.5443,0.3733,2.3932,0.3467
126,1.4383,0.4000,2.4666,0.2733
127,1.4500,0.3756,2.3027,0.3000
128,1.3700,0.4289,2.3093,0.3000
129,1.4648,0.4178,2.4775,0.3200
130,1.4813,0.4156,2.5077,0.3133
131,1.4684,0.3978,2.1658,0.3067
132,1.4049,0.3978,2.1797,0.3333
133,1.4183,0.4244,2.1873,0.3400
134,1.5198,0.4356,2.3942,0.3133
135,1.4672,0.3933,2.3377,0.2800
136,1.4749,0.4267,2.3849,0.3067
137,1.4877,0.4000,2.4656,0.2867
138,1.5015,0.4244,2.1874,0.3200
139,1.4175,0.4356,2.2553,0.3333
140,1.3431,0.4511,2.2044,0.3533
141,1.4361,0.4556,2.2648,0.3533
142,1.4438,0.4378,2.2657,0.3400
143,1.3608,0.4556,2.2753,0.3000
