Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6749,0.5957,0.6085,0.6809
2,0.6336,0.6596,0.5998,0.6809
3,0.5979,0.6596,0.5886,0.6809
4,0.5987,0.6596,0.5836,0.6809
5,0.6013,0.6596,0.5764,0.6809
6,0.6087,0.6596,0.5689,0.6809
7,0.5941,0.6596,0.5621,0.6809
8,0.5950,0.6596,0.5558,0.6809
9,0.5697,0.6738,0.5366,0.6809
10,0.5893,0.6667,0.5215,0.6809
11,0.5561,0.6879,0.5156,0.7447
12,0.5462,0.6809,0.5039,0.7234
13,0.5256,0.6738,0.4843,0.7234
14,0.5297,0.6738,0.4745,0.7660
15,0.5352,0.7092,0.4655,0.7660
16,0.5452,0.7021,0.4584,0.7660
17,0.5335,0.6950,0.4547,0.7872
18,0.5327,0.7163,0.4553,0.8298
19,0.5081,0.7234,0.4536,0.7660
20,0.5253,0.7234,0.4400,0.8085
21,0.5185,0.7305,0.4378,0.8085
22,0.5033,0.7305,0.4315,0.8085
23,0.5196,0.7305,0.4251,0.8298
24,0.4928,0.7305,0.4218,0.8085
25,0.4848,0.7305,0.4196,0.8298
26,0.4940,0.7447,0.4165,0.8298
27,0.5172,0.7163,0.4128,0.8085
28,0.5154,0.7589,0.4220,0.8298
29,0.4795,0.7801,0.4147,0.7872
30,0.4846,0.7163,0.4141,0.8085
31,0.4692,0.7730,0.4353,0.8298
32,0.5049,0.7730,0.3989,0.8085
33,0.4959,0.7589,0.4049,0.8298
34,0.4693,0.7872,0.3985,0.8298
35,0.4512,0.7730,0.3963,0.8085
36,0.4532,0.7589,0.3939,0.8298
37,0.4377,0.7589,0.3987,0.8298
38,0.4621,0.7872,0.3897,0.8298
39,0.4803,0.7447,0.3892,0.8298
40,0.4428,0.8014,0.4197,0.8298
41,0.4294,0.7943,0.3931,0.7660
42,0.4670,0.7518,0.3987,0.8298
43,0.4603,0.8227,0.3824,0.8298
44,0.4979,0.7660,0.3811,0.8298
45,0.5368,0.7943,0.3863,0.8298
46,0.5283,0.7447,0.4159,0.8085
47,0.4365,0.7730,0.4519,0.8936
48,0.4828,0.8014,0.3858,0.7660
49,0.4327,0.7447,0.4042,0.8085
50,0.4268,0.7447,0.3875,0.8298
51,0.4248,0.8085,0.3795,0.8298
52,0.4222,0.7730,0.3754,0.8085
53,0.4343,0.7801,0.3775,0.8298
54,0.4023,0.8085,0.3756,0.8085
55,0.4235,0.7801,0.3765,0.8085
56,0.4053,0.8085,0.3780,0.8085
57,0.4082,0.7872,0.3729,0.8085
58,0.4488,0.7872,0.3711,0.8298
59,0.3973,0.8085,0.3676,0.8085
60,0.4152,0.8014,0.3676,0.8085
61,0.4176,0.8227,0.3635,0.8085
62,0.4270,0.7660,0.3691,0.8085
63,0.4352,0.8369,0.3689,0.8085
64,0.4548,0.7730,0.3659,0.8085
65,0.4412,0.8227,0.3609,0.8085
66,0.3870,0.7872,0.3568,0.8085
67,0.4466,0.8085,0.3571,0.8085
68,0.4609,0.7518,0.3702,0.8085
69,0.4045,0.8014,0.3925,0.8723
70,0.3983,0.7943,0.3732,0.7872
71,0.4202,0.7589,0.3687,0.8723
72,0.4220,0.8227,0.3581,0.8085
73,0.3679,0.8227,0.3580,0.8085
74,0.4207,0.7943,0.3584,0.8298
75,0.4345,0.8440,0.3545,0.8085
76,0.4267,0.7801,0.3627,0.8085
77,0.4071,0.8085,0.3687,0.8723
78,0.3884,0.8227,0.3657,0.8085
79,0.3756,0.7801,0.3648,0.8723
80,0.4035,0.7943,0.3416,0.8085
81,0.3719,0.8227,0.3656,0.8723
82,0.3719,0.8156,0.3481,0.8298
83,0.3608,0.8085,0.3662,0.8723
84,0.3498,0.8227,0.3565,0.8298
85,0.3584,0.8085,0.3597,0.8723
86,0.3529,0.8298,0.3516,0.8298
87,0.3642,0.8014,0.3574,0.8723
88,0.3546,0.8440,0.3469,0.8298
89,0.3484,0.8298,0.3474,0.8723
90,0.3460,0.8227,0.3518,0.8298
91,0.3416,0.8085,0.3312,0.8723
92,0.3266,0.8298,0.3314,0.8723
93,0.3433,0.8298,0.3692,0.8298
94,0.3629,0.8014,0.3463,0.8511
95,0.3463,0.8085,0.3461,0.8723
96,0.3209,0.8440,0.3484,0.8511
97,0.3607,0.8085,0.3261,0.8936
98,0.3646,0.8014,0.4078,0.8936
99,0.4011,0.7943,0.3671,0.8085
100,0.3408,0.8369,0.3206,0.8936
101,0.3079,0.8511,0.3139,0.8936
102,0.3176,0.8369,0.3392,0.8511
103,0.3274,0.8369,0.3570,0.8936
104,0.3597,0.8369,0.4795,0.8085
105,0.3793,0.8085,0.3909,0.8936
106,0.3302,0.8582,0.3734,0.8085
107,0.3235,0.8440,0.3322,0.8936
108,0.3457,0.8227,0.3384,0.8511
109,0.3218,0.8582,0.3369,0.8936
110,0.3544,0.8085,0.3577,0.8936
111,0.3593,0.8369,0.4014,0.8085
112,0.3176,0.8511,0.3351,0.9149
113,0.3200,0.8511,0.4289,0.8298
114,0.3508,0.8156,0.3536,0.8936
115,0.3097,0.8440,0.3904,0.8085
116,0.3378,0.8369,0.4012,0.8936
117,0.3980,0.8298,0.4752,0.7872
118,0.4066,0.7801,0.4474,0.8723
119,0.3602,0.8298,0.4347,0.8085
120,0.3614,0.8014,0.3099,0.8936
121,0.3073,0.8511,0.3130,0.8936
122,0.3339,0.8369,0.3145,0.8723
123,0.3045,0.8652,0.3283,0.8936
124,0.2957,0.8298,0.3281,0.8936
125,0.2978,0.8865,0.3178,0.8936
126,0.2775,0.8582,0.3285,0.8723
127,0.3042,0.8723,0.3190,0.9149
128,0.3668,0.8227,0.3398,0.8723
129,0.2805,0.8723,0.3196,0.8936
130,0.2780,0.8723,0.3359,0.8723
131,0.2898,0.8794,0.3214,0.9149
132,0.2862,0.8652,0.3433,0.8723
133,0.2590,0.8865,0.3153,0.9149
134,0.2925,0.8723,0.3206,0.8936
135,0.2639,0.8723,0.3158,0.8936
136,0.2939,0.8511,0.3158,0.9149
137,0.2747,0.8865,0.3227,0.8936
138,0.2493,0.8865,0.3200,0.8936
139,0.2801,0.8582,0.3425,0.8723
140,0.2780,0.8582,0.3228,0.9149
141,0.3506,0.8156,0.3873,0.8936
142,0.2734,0.8723,0.3250,0.9149
143,0.2890,0.8652,0.3391,0.8723
144,0.2788,0.8511,0.3311,0.8723
145,0.2501,0.8865,0.3098,0.8936
146,0.2749,0.8794,0.3167,0.8936
147,0.2814,0.8794,0.3396,0.8723
148,0.2889,0.8652,0.3579,0.8511
149,0.2881,0.8652,0.3020,0.9149
150,0.3068,0.8511,0.4629,0.8298
151,0.3367,0.7943,0.3479,0.9149
152,0.3291,0.8298,0.5391,0.8298
153,0.3720,0.8156,0.3365,0.9149
154,0.2829,0.8582,0.3942,0.8298
155,0.3168,0.8582,0.3312,0.9149
156,0.3105,0.8511,0.3749,0.8085
157,0.2996,0.8582,0.3113,0.8936
158,0.2746,0.8794,0.3122,0.8936
159,0.3131,0.8369,0.3184,0.8936
160,0.3190,0.8652,0.3135,0.8936
161,0.2602,0.8723,0.3329,0.8723
162,0.2791,0.8723,0.3037,0.9149
163,0.3309,0.8440,0.3464,0.8511
164,0.3226,0.8298,0.3097,0.8936
165,0.2713,0.8794,0.3218,0.8936
166,0.2828,0.8936,0.3243,0.8936
167,0.2578,0.8582,0.3246,0.8936
168,0.2472,0.9007,0.3148,0.9149
169,0.2493,0.8794,0.3171,0.8936
170,0.2352,0.8936,0.3333,0.8723
171,0.2909,0.8794,0.3120,0.8936
172,0.2399,0.8865,0.3375,0.8723
173,0.2684,0.8723,0.3231,0.8936
174,0.2508,0.8582,0.3156,0.9149
175,0.2554,0.8936,0.3680,0.8511
176,0.2800,0.8582,0.3181,0.9149
177,0.2679,0.8723,0.3848,0.8723
178,0.3189,0.8511,0.3196,0.9149
179,0.3361,0.8652,0.3622,0.8723
180,0.4012,0.8369,0.3127,0.9149
181,0.4245,0.8227,0.4665,0.8085
182,0.4415,0.7801,0.3133,0.9149
183,0.3691,0.8511,0.3266,0.8723
