Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6666,0.5995,0.6421,0.6308
2,0.6204,0.6739,0.6318,0.6703
3,0.6293,0.6906,0.6221,0.6953
4,0.6302,0.6775,0.6431,0.6201
5,0.6407,0.6619,0.6403,0.6738
6,0.6198,0.6871,0.6286,0.6882
7,0.6244,0.6571,0.6494,0.6201
8,0.6010,0.6930,0.6385,0.7061
9,0.6132,0.7026,0.6782,0.5699
10,0.6416,0.6799,0.6360,0.6308
11,0.6346,0.6775,0.6472,0.6380
12,0.6172,0.6763,0.6180,0.7061
13,0.6052,0.7050,0.6364,0.6989
14,0.6002,0.6978,0.6295,0.7061
15,0.6047,0.7122,0.6246,0.7276
16,0.6272,0.6882,0.6318,0.6595
17,0.6461,0.6679,0.6350,0.6774
18,0.6285,0.6978,0.6213,0.6953
19,0.6385,0.6859,0.6137,0.7061
20,0.6241,0.6763,0.6339,0.6846
21,0.6768,0.6763,0.6219,0.6953
22,0.6201,0.7014,0.6217,0.6918
23,0.6135,0.6871,0.6300,0.7097
24,0.6009,0.7110,0.6294,0.7097
25,0.6000,0.6859,0.6325,0.6667
26,0.5982,0.6978,0.6235,0.7061
27,0.5912,0.7014,0.6461,0.6631
28,0.6019,0.7038,0.6283,0.7025
29,0.6535,0.6691,0.6411,0.6810
30,0.6253,0.6595,0.6203,0.7025
31,0.6201,0.6930,0.6298,0.6667
32,0.6484,0.6655,0.6247,0.6953
33,0.6094,0.7014,0.6219,0.7061
34,0.6086,0.7098,0.6247,0.7061
35,0.5991,0.6930,0.6295,0.7025
36,0.6283,0.6882,0.6467,0.6201
37,0.6010,0.6930,0.6220,0.7133
38,0.5993,0.7062,0.6226,0.7061
39,0.6037,0.7014,0.6636,0.6523
40,0.6119,0.6882,0.6197,0.7240
41,0.6003,0.6978,0.6206,0.7061
42,0.5983,0.7134,0.6258,0.6882
43,0.5931,0.7026,0.6389,0.7061
44,0.6054,0.7122,0.6180,0.7025
45,0.6160,0.7086,0.6260,0.6667
46,0.6011,0.6942,0.6156,0.7168
47,0.5907,0.7026,0.6415,0.7204
48,0.6388,0.7026,0.6338,0.7061
49,0.6137,0.6787,0.6167,0.7240
50,0.5979,0.7158,0.6240,0.6953
51,0.6033,0.7014,0.6269,0.6452
52,0.5912,0.7014,0.6517,0.6344
53,0.6136,0.7026,0.6358,0.6846
54,0.6194,0.6859,0.6164,0.7168
55,0.6295,0.7038,0.6198,0.7312
56,0.5953,0.7086,0.6174,0.7276
57,0.5917,0.7206,0.6393,0.6380
58,0.6018,0.6775,0.6193,0.6738
59,0.5965,0.7122,0.6233,0.6989
60,0.5867,0.7146,0.6241,0.7097
61,0.5888,0.6954,0.6152,0.6846
62,0.6438,0.6990,0.6154,0.7097
63,0.6318,0.6823,0.6409,0.6846
64,0.6339,0.6799,0.6255,0.7204
